Sampling site	sequencing_lab	N (weeks)	SARS-CoV-2 R (Raw)	SARS-CoV-2 p (Raw)	SARS-CoV-2 R (PMMoV)	SARS-CoV-2 p (PMMoV)	SARS-CoV-2 R (ToBRFV)	SARS-CoV-2 p (ToBRFV)	Influenza A R (Raw)	Influenza A p (Raw)	Influenza A R (PMMoV)	Influenza A p (PMMoV)	Influenza A R (ToBRFV)	Influenza A p (ToBRFV)	RSV R (Raw)	RSV p (Raw)	RSV R (PMMoV)	RSV p (PMMoV)	RSV R (ToBRFV)	RSV p (ToBRFV)	Median clinical freq (days)	Median MGS freq (days)
Boston DITP North, MA	MU	47	0.25508788159111934	0.0835481985684657	0.7814523589269197	9.047204635299658e-11	0.7000462534690102	4.342394912061482e-08	0.48860233484700344	0.0004929535546217556	0.6539994970462203	6.194380618587667e-07	0.6520297935384187	6.8709751367083e-07	0.6848627373891403	1.0998821045930387e-07	0.8399820076287347	1.573901357559645e-13	0.8292301449420042	6.031579051898071e-13	7	7
Boston DITP South, MA	MU	47	0.3116327474560592	0.03297948320609005	0.7752081406105459	1.5875701098203053e-10	0.7716234967622572	2.1749725015902454e-10	0.5361925233050706	0.00010248927522576079	0.7103028483415035	2.242355592660247e-08	0.6895395251026484	8.310258812321279e-08	0.6193791188555323	3.4561838486918263e-06	0.7543289810519972	9.206058361034847e-10	0.7540892832505823	9.38417980289566e-10	7	7
Boston DITP North, MA	SB	26	0.30979655094595054	0.12352549470561802	0.6681484112013104	0.0001913231973367726	0.6134382035287365	0.0008604803060687332	0.9178593320463967	4.073445313017379e-11	0.9178593320463967	4.073445313017379e-11	0.9178593320463967	4.073445313017379e-11	0.8113933835649639	4.927361055086891e-07	0.8316033663659362	1.4131776411320395e-07	0.8316033663659362	1.4131776411320395e-07	7	7
Boston DITP South, MA	SB	26	0.8282588322676673	1.756841260588733e-07	0.19945266386288726	0.3286399040020028	0.023605889891147893	0.9088709823786716	0.6361364789344698	0.0004774018526196073	0.7537709626559786	8.747446939934353e-06	0.7537709626559786	8.747446939934353e-06	0.7661990731301811	5.040877303299413e-06	0.7938435058028449	1.3002195426412459e-06	0.7938435058028449	1.3002195426412459e-06	7	7
