Sampling site	sequencing_lab	N (weeks)	SARS-CoV-2 (Raw)	SARS-CoV-2 (PMMoV)	SARS-CoV-2 (ToBRFV)	Influenza A (Raw)	Influenza A (PMMoV)	Influenza A (ToBRFV)	RSV (Raw)	RSV (PMMoV)	RSV (ToBRFV)
Boston DITP North, MA	MU	47	0.26 (0.084)	0.78 (9.0e-11)	0.70 (4.3e-08)	0.49 (4.9e-04)	0.65 (6.2e-07)	0.65 (6.9e-07)	0.68 (1.1e-07)	0.84 (1.6e-13)	0.83 (6.0e-13)
Boston DITP South, MA	MU	47	0.31 (0.033)	0.78 (1.6e-10)	0.77 (2.2e-10)	0.54 (1.0e-04)	0.71 (2.2e-08)	0.69 (8.3e-08)	0.62 (3.5e-06)	0.75 (9.2e-10)	0.75 (9.4e-10)
Boston DITP North, MA	SB	26	0.31 (0.124)	0.67 (1.9e-04)	0.61 (8.6e-04)	0.92 (4.1e-11)	0.92 (4.1e-11)	0.92 (4.1e-11)	0.81 (4.9e-07)	0.83 (1.4e-07)	0.83 (1.4e-07)
Boston DITP South, MA	SB	26	0.83 (1.8e-07)	0.20 (0.329)	0.02 (0.909)	0.64 (4.8e-04)	0.75 (8.7e-06)	0.75 (8.7e-06)	0.77 (5.0e-06)	0.79 (1.3e-06)	0.79 (1.3e-06)
