Sampling site	N (weeks)	SARS-CoV-2 R (Raw)	SARS-CoV-2 p (Raw)	SARS-CoV-2 R (PMMoV)	SARS-CoV-2 p (PMMoV)	SARS-CoV-2 R (ToBRFV)	SARS-CoV-2 p (ToBRFV)	Influenza A R (Raw)	Influenza A p (Raw)	Influenza A R (PMMoV)	Influenza A p (PMMoV)	Influenza A R (ToBRFV)	Influenza A p (ToBRFV)	RSV R (Raw)	RSV p (Raw)	RSV R (PMMoV)	RSV p (PMMoV)	RSV R (ToBRFV)	RSV p (ToBRFV)	Median clinical freq (days)	Median MGS freq (days)
**MU-sequenced**																					
Boston DITP North, MA	46	0.19617637989515882	0.1913299309845883	0.798581560283688	2.9434667976639536e-11	0.7015109466543324	5.6134621941365565e-08	0.5346565769413033	0.00012936895895792708	0.6726623723765051	3.048305351477476e-07	0.671549920823512	3.241713359655751e-07	0.7129088454272177	2.7200993581196012e-08	0.8354594933758757	5.154796385021571e-13	0.8289898144993981	1.1223511774770877e-12	7	7
Boston DITP South, MA	46	0.18199198273203823	0.22608693372724933	0.7988282454517421	2.872996457385881e-11	0.7789700894233735	1.827821000875101e-10	0.6065033664056303	7.907310121067819e-06	0.7473198378938968	2.4311829036739297e-09	0.7521584655485596	1.6784254555914539e-09	0.6345220679268329	2.186638422035626e-06	0.7750554623458968	2.5743223078928045e-10	0.7742908879245765	2.750212366793528e-10	7	7
**SB-sequenced**																					
Boston DITP North, MA	25	0.31582997314370226	0.12405454158398563	0.6935949349306884	0.0001207252663507723	0.6451240742533358	0.0004978097801559854	0.9070479760346287	4.1132987931946243e-10	0.9070479760346287	4.1132987931946243e-10	0.9070479760346287	4.1132987931946243e-10	0.785741773569994	3.255066480203548e-06	0.8087640501694403	9.947133904931458e-07	0.8087640501694403	9.947133904931458e-07	7	7
Boston DITP South, MA	25	0.8606623027550743	3.4165959054777356e-08	0.19014632270170245	0.36261018053261374	0.003849115844164017	0.9854312150332138	0.5894399903605173	0.001930899774716674	0.7221825082969341	4.582276115815637e-05	0.7221825082969341	4.582276115815637e-05	0.7343068146009436	2.9307157157329985e-05	0.7657892620403816	8.146645716735193e-06	0.7657892620403816	8.146645716735193e-06	7	7
