category,runs,mbases,mbytes,gigabases,terabases,gigabytes,terabytes
1_all_sra,41500606,137550014009,46888524322,1.37550014009E8,137550.014,4.688852432E7,46888.524
2_wastewater_metagenome,338826,801751111,250521829,801751.111,801.7511,250521.83,250.522
3_wastewater_shotgun_metagenomic,60845,587322067,181331639,587322.067,587.3221,181331.64,181.332
4_wastewater_shotgun_metagenomic_excl_casper,59196,227407315,81341649,227407.315,227.4073,81341.65,81.342
5_bioproject_PRJNA1247874_casper,1280,357869335,99015419,357869.335,357.8693,99015.42,99.015
6_bioproject_PRJNA1198001_casper_rothman,40,13132618,4071313,13132.618,13.1326,4071.31,4.071
