year,month,category,runs,mbases,mbytes
2015,4,wastewater_shotgun_metagenomic,3,1807,1064
2015,5,all_sra,45968,96836935,64119486
2015,5,wastewater_metagenome,17,74,91
2015,6,all_sra,61463,107728814,59412337
2015,6,wastewater_metagenome,102,20142,12706
2015,6,wastewater_shotgun_metagenomic,6,19686,11998
2015,7,all_sra,114529,310984481,185719057
2015,7,wastewater_metagenome,285,59600,36353
2015,7,wastewater_shotgun_metagenomic,14,48855,29625
2015,8,all_sra,38522,76727732,46893346
2015,8,wastewater_metagenome,52,239,272
2015,8,wastewater_shotgun_metagenomic,1,74,40
2015,9,all_sra,52051,87646146,51319762
2015,9,wastewater_metagenome,64,19426,8945
2015,9,wastewater_shotgun_metagenomic,36,18247,7845
2015,10,all_sra,76466,185465982,89457239
2015,10,wastewater_metagenome,6,642,483
2015,11,all_sra,69235,192518857,87079142
2015,11,wastewater_metagenome,80,44220,26946
2015,11,wastewater_shotgun_metagenomic,13,41439,25130
2015,12,all_sra,51151,73461660,44456981
2015,12,wastewater_metagenome,88,7357,4480
2016,1,all_sra,74162,249653969,133284469
2016,1,wastewater_metagenome,15,596,404
2016,1,wastewater_shotgun_metagenomic,4,396,242
2016,2,all_sra,76041,87214146,48879296
2016,2,wastewater_metagenome,69,592,476
2016,2,wastewater_shotgun_metagenomic,27,96,210
2016,3,all_sra,83813,137258529,74417692
2016,3,wastewater_metagenome,1065,340099,190478
2016,3,wastewater_shotgun_metagenomic,570,335979,189168
2016,4,all_sra,70769,211236988,99679091
2016,4,wastewater_metagenome,132,1972,1215
2016,5,all_sra,62326,204773641,112524021
2016,5,wastewater_metagenome,68,11805,7541
2016,6,all_sra,125642,171815713,89701845
2016,6,wastewater_metagenome,194,81368,46471
2016,6,wastewater_shotgun_metagenomic,14,44991,27069
2016,7,all_sra,100883,186726171,105169841
2016,7,wastewater_metagenome,401,39970,21201
2016,7,wastewater_shotgun_metagenomic,41,27657,14670
2016,8,all_sra,177738,224409480,115808168
2016,8,wastewater_metagenome,107,15593,8739
2016,8,wastewater_shotgun_metagenomic,2,5627,3266
2016,9,all_sra,99063,210990210,101476933
2016,9,wastewater_metagenome,115,17709,9057
2016,9,wastewater_shotgun_metagenomic,9,13444,6528
2016,10,all_sra,119528,2523784228,770529905
2016,10,wastewater_metagenome,65,12703,7255
2016,11,all_sra,87430,333785117,162464750
2016,11,wastewater_metagenome,48,2174,1029
2016,12,all_sra,71120,316919626,150629128
2016,12,wastewater_metagenome,348,20311,11807
2016,12,wastewater_shotgun_metagenomic,4,82,48
2017,1,all_sra,83775,387217567,144414906
2017,1,wastewater_metagenome,251,356955,200105
2017,1,wastewater_shotgun_metagenomic,15,334220,185746
2017,2,all_sra,95307,155177866,79720830
2017,2,wastewater_metagenome,444,394773,234607
2017,2,wastewater_shotgun_metagenomic,29,379554,227512
2017,3,all_sra,97473,298404413,112100571
2017,3,wastewater_metagenome,65,30230,17132
2017,3,wastewater_shotgun_metagenomic,1,60,28
2017,4,all_sra,91535,1006433941,336170328
2017,4,wastewater_metagenome,67,495542,249819
2017,4,wastewater_shotgun_metagenomic,42,462312,229709
2017,5,all_sra,99337,921736071,280931123
2017,5,wastewater_metagenome,137,197675,110923
2017,5,wastewater_shotgun_metagenomic,46,195818,109868
2017,6,all_sra,90203,438008836,148982765
2017,6,wastewater_metagenome,228,23175,11522
2017,6,wastewater_shotgun_metagenomic,12,8917,3062
2017,7,all_sra,94814,337225030,143299649
2017,7,wastewater_metagenome,77,6095,3480
2017,8,all_sra,116539,299514663,125594965
2017,8,wastewater_metagenome,209,72231,36953
2017,8,wastewater_shotgun_metagenomic,1,18,8
2017,9,all_sra,105095,588527289,213094021
2017,9,wastewater_metagenome,114,4023,3402
2017,9,wastewater_shotgun_metagenomic,3,683,1827
2017,10,all_sra,110899,354644833,146635369
2017,10,wastewater_metagenome,742,614675,205533
2017,10,wastewater_shotgun_metagenomic,118,596849,196307
2017,11,all_sra,136032,367403222,139990338
2017,11,wastewater_metagenome,144,27362,24238
2017,11,wastewater_shotgun_metagenomic,24,525,276
2017,12,all_sra,147158,227898452,103895810
2017,12,wastewater_metagenome,133,35306,16738
2017,12,wastewater_shotgun_metagenomic,6,25213,10913
2018,1,all_sra,114925,241929922,113427629
2018,1,wastewater_metagenome,208,138306,58437
2018,1,wastewater_shotgun_metagenomic,20,118788,44693
2018,2,all_sra,140160,1621031685,376455147
2018,2,wastewater_metagenome,92,22022,11902
2018,2,wastewater_shotgun_metagenomic,4,728,306
2018,3,all_sra,216336,529609109,176313602
2018,3,wastewater_metagenome,928,902890,499488
2018,3,wastewater_shotgun_metagenomic,60,873489,482814
2018,4,all_sra,146032,1134085660,315887262
2018,4,wastewater_metagenome,740,218325,89272
2018,4,wastewater_shotgun_metagenomic,33,131346,51487
2018,5,all_sra,112057,424377256,171549607
2018,5,wastewater_metagenome,257,40507,19201
2018,5,wastewater_shotgun_metagenomic,5,27524,10888
2018,6,all_sra,145442,240092180,111335801
2018,6,wastewater_metagenome,475,186118,92306
2018,6,wastewater_shotgun_metagenomic,21,68728,38325
2018,7,all_sra,223561,582489712,209874683
2018,7,wastewater_metagenome,483,1820529,794589
2018,7,wastewater_shotgun_metagenomic,297,1814226,791387
2018,8,all_sra,185019,480218411,191280024
2018,8,wastewater_metagenome,175,165279,70092
2018,8,wastewater_shotgun_metagenomic,12,118763,49606
2018,9,all_sra,195561,323814456,139317675
2018,9,wastewater_metagenome,211,54842,31613
2018,9,wastewater_shotgun_metagenomic,2,5289,3180
2018,10,all_sra,177990,492349624,165057569
2018,10,wastewater_metagenome,616,43829,23525
2018,10,wastewater_shotgun_metagenomic,2,17016,7504
2018,11,all_sra,193651,699979568,239904254
2018,11,wastewater_metagenome,365,245229,106308
2018,11,wastewater_shotgun_metagenomic,23,217386,92635
2018,12,all_sra,189414,1751841200,410691333
2018,12,wastewater_metagenome,874,548735,224614
2018,12,wastewater_shotgun_metagenomic,30,242280,99289
2019,1,all_sra,185394,1683193347,399402062
2019,1,wastewater_metagenome,578,273709,126164
2019,1,wastewater_shotgun_metagenomic,74,201300,92415
2019,2,all_sra,174194,1146463733,286425551
2019,2,wastewater_metagenome,781,1538781,654179
2019,2,wastewater_shotgun_metagenomic,246,1447743,616339
2019,3,all_sra,185124,1232341982,335413505
2019,3,wastewater_metagenome,730,925214,380428
2019,3,wastewater_shotgun_metagenomic,308,666612,300565
2019,4,all_sra,144671,337887700,138041221
2019,4,wastewater_metagenome,330,362496,157925
2019,4,wastewater_shotgun_metagenomic,64,64877,28829
2019,5,all_sra,183735,436442937,182228053
2019,5,wastewater_metagenome,535,1005744,333857
2019,5,wastewater_shotgun_metagenomic,37,211771,86119
2019,6,all_sra,166506,1513917622,374380918
2019,6,wastewater_metagenome,461,286752,102645
2019,6,wastewater_shotgun_metagenomic,20,200160,62693
2019,7,all_sra,191141,408449674,169891543
2019,7,wastewater_metagenome,529,518127,293932
2019,7,wastewater_shotgun_metagenomic,42,469838,269898
2019,8,all_sra,192314,377754657,165564789
2019,8,wastewater_metagenome,190,398938,217272
2019,8,wastewater_shotgun_metagenomic,62,375067,208418
2019,9,all_sra,169709,518081960,333814023
2019,9,wastewater_metagenome,461,250405,109154
2019,9,wastewater_shotgun_metagenomic,18,114320,50148
2019,10,all_sra,229398,1097647821,315662265
2019,10,wastewater_metagenome,758,240938,672501
2019,10,wastewater_shotgun_metagenomic,307,218436,659348
2019,11,all_sra,193381,1379542657,336452359
2019,11,wastewater_metagenome,594,56656,26524
2019,11,wastewater_shotgun_metagenomic,39,19715,9210
2019,12,all_sra,220015,810117427,250847898
2019,12,wastewater_metagenome,506,286958,157087
2019,12,wastewater_shotgun_metagenomic,34,192384,110559
2020,1,all_sra,478142,2569800167,589707674
2020,1,wastewater_metagenome,358,1337987,635343
2020,1,wastewater_shotgun_metagenomic,143,1087649,543981
2020,2,all_sra,255408,977149903,281072532
2020,2,wastewater_metagenome,566,58291,24144
2020,3,all_sra,225166,1994125589,405627438
2020,3,wastewater_metagenome,405,20324,10398
2020,3,wastewater_shotgun_metagenomic,11,4978,3161
2020,4,all_sra,262254,971578010,284933156
2020,4,wastewater_metagenome,978,401971,157280
2020,4,wastewater_shotgun_metagenomic,1,3113,1148
2020,5,all_sra,212615,1090844835,360118748
2020,5,wastewater_metagenome,992,710829,284328
2020,5,wastewater_shotgun_metagenomic,135,650302,256537
2020,6,all_sra,258235,676693267,262262487
2020,6,wastewater_metagenome,335,45902,17040
2020,6,wastewater_shotgun_metagenomic,6,22306,7754
2020,7,all_sra,277930,647548162,256971262
2020,7,wastewater_metagenome,962,2742827,832899
2020,7,wastewater_shotgun_metagenomic,259,2505636,755057
2020,8,all_sra,260421,1026061931,311699552
2020,8,wastewater_metagenome,725,824017,309027
2020,8,wastewater_shotgun_metagenomic,30,503699,199005
2020,9,all_sra,277760,634221095,242053110
2020,9,wastewater_metagenome,252,185185,61920
2020,9,wastewater_shotgun_metagenomic,10,56961,18675
2020,10,all_sra,310312,642219269,243178907
2020,10,wastewater_metagenome,545,1572570,532563
2020,10,wastewater_shotgun_metagenomic,105,351939,155287
2020,11,all_sra,266189,551023565,207615735
2020,11,wastewater_metagenome,803,642558,225810
2020,11,wastewater_shotgun_metagenomic,69,194107,70110
2020,12,all_sra,306593,643682453,247621111
2020,12,wastewater_metagenome,432,1059476,381362
2020,12,wastewater_shotgun_metagenomic,64,681449,258075
2021,1,all_sra,360255,3386988314,645859783
2021,1,wastewater_metagenome,814,262347,110154
2021,1,wastewater_shotgun_metagenomic,12,452,214
2021,2,all_sra,203618,778484331,253292786
2021,2,wastewater_metagenome,382,549277,182419
2021,2,wastewater_shotgun_metagenomic,12,69532,28871
2021,3,all_sra,552425,976081135,322608773
2021,3,wastewater_metagenome,1283,1389502,711850
2021,3,wastewater_shotgun_metagenomic,144,1268476,660250
2021,4,all_sra,304887,672012662,236145498
