sra_accession,site_name,sequencing_lab,date,n_reads_virus_10239_total,n_reads_virus_annotated,n_reads_virus_not_annotated,n_reads_virus_vertebrate_7742_status_0,n_reads_virus_vertebrate_7742_status_1,n_reads_virus_vertebrate_7742_status_2,n_reads_virus_vertebrate_7742_status_3,n_reads_virus_invertebrate_33208m7742_status_0,n_reads_virus_invertebrate_33208m7742_status_1,n_reads_virus_invertebrate_33208m7742_status_2,n_reads_virus_invertebrate_33208m7742_status_3,n_reads_virus_plant_33090_status_0,n_reads_virus_plant_33090_status_1,n_reads_virus_plant_33090_status_2,n_reads_virus_plant_33090_status_3,n_reads_virus_fungi_4751_status_0,n_reads_virus_fungi_4751_status_1,n_reads_virus_fungi_4751_status_2,n_reads_virus_fungi_4751_status_3,n_reads_virus_bacteria_2_status_0,n_reads_virus_bacteria_2_status_1,n_reads_virus_bacteria_2_status_2,n_reads_virus_bacteria_2_status_3,n_reads_virus_archaea_2157_status_0,n_reads_virus_archaea_2157_status_1,n_reads_virus_archaea_2157_status_2,n_reads_virus_archaea_2157_status_3,n_reads_virus_other_eukaryote_2759mMFP_status_0,n_reads_virus_other_eukaryote_2759mMFP_status_1,n_reads_virus_other_eukaryote_2759mMFP_status_2,n_reads_virus_other_eukaryote_2759mMFP_status_3,n_reads_virus_virus_10239_status_0,n_reads_virus_virus_10239_status_1,n_reads_virus_virus_10239_status_2,n_reads_virus_virus_10239_status_3,n_reads_virus_metagenome_408169_status_0,n_reads_virus_metagenome_408169_status_1,n_reads_virus_metagenome_408169_status_2,n_reads_virus_metagenome_408169_status_3,n_reads_virus_unclassified_2787823m408169_status_0,n_reads_virus_unclassified_2787823m408169_status_1,n_reads_virus_unclassified_2787823m408169_status_2,n_reads_virus_unclassified_2787823m408169_status_3,n_reads_virus_other_entries_2787854_status_0,n_reads_virus_other_entries_2787854_status_1,n_reads_virus_other_entries_2787854_status_2,n_reads_virus_other_entries_2787854_status_3,n_reads_virus_host_root_1_status_0,n_reads_virus_host_root_1_status_1,n_reads_virus_host_root_1_status_2,n_reads_virus_host_root_1_status_3,n_reads_virus_unknown,n_reads_virus_vertebrate_7742_exclusive,n_reads_virus_invertebrate_33208m7742_exclusive,n_reads_virus_plant_33090_exclusive,n_reads_virus_fungi_4751_exclusive,n_reads_virus_bacteria_2_exclusive,n_reads_virus_archaea_2157_exclusive,n_reads_virus_other_eukaryote_2759mMFP_exclusive,n_reads_virus_virus_10239_exclusive,n_reads_virus_metagenome_408169_exclusive,n_reads_virus_unclassified_2787823m408169_exclusive,n_reads_virus_other_entries_2787854_exclusive,n_reads_virus_host_root_1_exclusive,n_reads_virus_unknown_exclusive,fraction_virus_annotated,fraction_virus_not_annotated,fraction_virus_vertebrate_7742_status_0,fraction_virus_vertebrate_7742_status_1,fraction_virus_vertebrate_7742_status_2,fraction_virus_vertebrate_7742_status_3,fraction_virus_invertebrate_33208m7742_status_0,fraction_virus_invertebrate_33208m7742_status_1,fraction_virus_invertebrate_33208m7742_status_2,fraction_virus_invertebrate_33208m7742_status_3,fraction_virus_plant_33090_status_0,fraction_virus_plant_33090_status_1,fraction_virus_plant_33090_status_2,fraction_virus_plant_33090_status_3,fraction_virus_fungi_4751_status_0,fraction_virus_fungi_4751_status_1,fraction_virus_fungi_4751_status_2,fraction_virus_fungi_4751_status_3,fraction_virus_bacteria_2_status_0,fraction_virus_bacteria_2_status_1,fraction_virus_bacteria_2_status_2,fraction_virus_bacteria_2_status_3,fraction_virus_archaea_2157_status_0,fraction_virus_archaea_2157_status_1,fraction_virus_archaea_2157_status_2,fraction_virus_archaea_2157_status_3,fraction_virus_other_eukaryote_2759mMFP_status_0,fraction_virus_other_eukaryote_2759mMFP_status_1,fraction_virus_other_eukaryote_2759mMFP_status_2,fraction_virus_other_eukaryote_2759mMFP_status_3,fraction_virus_virus_10239_status_0,fraction_virus_virus_10239_status_1,fraction_virus_virus_10239_status_2,fraction_virus_virus_10239_status_3,fraction_virus_metagenome_408169_status_0,fraction_virus_metagenome_408169_status_1,fraction_virus_metagenome_408169_status_2,fraction_virus_metagenome_408169_status_3,fraction_virus_unclassified_2787823m408169_status_0,fraction_virus_unclassified_2787823m408169_status_1,fraction_virus_unclassified_2787823m408169_status_2,fraction_virus_unclassified_2787823m408169_status_3,fraction_virus_other_entries_2787854_status_0,fraction_virus_other_entries_2787854_status_1,fraction_virus_other_entries_2787854_status_2,fraction_virus_other_entries_2787854_status_3,fraction_virus_host_root_1_status_0,fraction_virus_host_root_1_status_1,fraction_virus_host_root_1_status_2,fraction_virus_host_root_1_status_3,fraction_virus_unknown,fraction_virus_vertebrate_7742_exclusive,fraction_virus_invertebrate_33208m7742_exclusive,fraction_virus_plant_33090_exclusive,fraction_virus_fungi_4751_exclusive,fraction_virus_bacteria_2_exclusive,fraction_virus_archaea_2157_exclusive,fraction_virus_other_eukaryote_2759mMFP_exclusive,fraction_virus_virus_10239_exclusive,fraction_virus_metagenome_408169_exclusive,fraction_virus_unclassified_2787823m408169_exclusive,fraction_virus_other_entries_2787854_exclusive,fraction_virus_host_root_1_exclusive,fraction_virus_unknown_exclusive
SAMN54705869,"Southern California, CA",MU,2025-05-11,214028,214028,0,211947,702,1375,4,212369,280,1371,8,87457,125192,1340,39,212645,4,1379,0,195819,16822,591,796,212594,55,1378,1,212622,27,1377,2,212638,6,1384,0,196682,15917,1429,0,214028,0,0,0,214028,0,0,0,142990,69656,1339,43,3,706,288,125231,4,17618,56,29,0,15917,0,0,53682,497,1.0,0.0,0.9902769731063226,0.0032799446801353,0.0064243930700655,1.868914347655447e-05,0.992248677743099,0.0013082400433588,0.006405703926589,3.737828695310894e-05,0.408624105257256,0.5849328125292018,0.0062608630646457,0.0001822191488964,0.9935382286429812,1.868914347655447e-05,0.0064430822135421,0.0,0.914922346608855,0.0785971928906498,0.0027613209486609,0.0037191395518343,0.9932999420636552,0.0002569757228026,0.006438409927673,4.672285869138617e-06,0.9934307660679912,0.0001261517184667,0.0064337376418038,9.344571738277236e-06,0.9935055226418972,2.8033715214831703e-05,0.0064664436428878,0.0,0.9189545293139216,0.0743687741790793,0.006676696506999,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6680901564281309,0.3254527445007195,0.0062561907787766,0.0002009082923729,1.4016857607415851e-05,0.0032986338236118,0.0013456183303119,0.5851150316780982,1.868914347655447e-05,0.0823163324424841,0.0002616480086717,0.000135496290205,0.0,0.0743687741790793,0.0,0.0,0.2508176500270992,0.0023221260769618
SAMN54705870,"Southern California, CA",MU,2025-05-14,53167,53167,0,52683,185,296,3,52825,43,296,3,19898,32970,297,2,52867,1,299,0,49123,3741,154,149,52846,22,299,0,52861,7,298,1,52866,1,300,0,48584,4279,304,0,53167,0,0,0,53167,0,0,0,36929,15936,288,14,0,188,45,32971,1,3890,22,7,0,4279,0,0,11633,131,1.0,0.0,0.9908966087986908,0.0034796020087648,0.0055673632140237,5.642597852051085e-05,0.9935674384486618,0.0008087723587939,0.0055673632140237,5.642597852051085e-05,0.3742547068670416,0.6201215039404142,0.0055861718735305,3.76173190136739e-05,0.9943574021479488,1.880865950683695e-05,0.0056237891925442,0.0,0.9239377809543514,0.070363195215077,0.0028965335640528,0.0028024902665187,0.9939624202983054,0.0004137905091504,0.0056237891925442,0.0,0.9942445501909078,0.0001316606165478,0.0056049805330374,1.880865950683695e-05,0.994338593488442,1.880865950683695e-05,0.005642597852051,0.0,0.9137999134801664,0.0804822540297553,0.0057178324900784,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6945849869279817,0.2997347979009536,0.005416893937969,0.0002633212330957,0.0,0.0035360279872853,0.0008463896778076,0.620140312599921,1.880865950683695e-05,0.0731656854815957,0.0004137905091504,0.0001316606165478,0.0,0.0804822540297553,0.0,0.0,0.2188011360430342,0.0024639343953956
SAMN54705871,"Southern California, CA",MU,2025-05-18,54251,54251,0,53877,125,247,2,53952,50,248,1,16013,37989,236,13,54002,0,249,0,51805,2196,122,128,53997,5,249,0,54001,1,248,1,54001,1,249,0,50766,3232,253,0,54251,0,0,0,54251,0,0,0,40327,13675,235,14,1,127,51,38002,0,2324,5,2,0,3232,0,0,10416,92,1.0,0.0,0.9931061178595786,0.0023041049934563,0.0045529114670697,3.686567989530147e-05,0.9944885808556524,0.0009216419973825,0.0045713443070173,1.8432839947650735e-05,0.2951650660817312,0.7002451567713037,0.0043501502276455,0.0002396269193194,0.9954102228530348,0.0,0.004589777146965,0.0,0.9549132734880464,0.040478516525041,0.0022488064736133,0.0023594035132992,0.9953180586532968,9.216419973825368e-05,0.004589777146965,0.0,0.9953917900130872,1.8432839947650735e-05,0.0045713443070173,1.8432839947650735e-05,0.9953917900130872,1.8432839947650735e-05,0.004589777146965,0.0,0.9357615527824372,0.0595749387108071,0.0046635085067556,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.7433411365689112,0.2520690862841238,0.0043317173876979,0.0002580597592671,1.8432839947650735e-05,0.0023409706733516,0.0009400748373301,0.7004847836906232,0.0,0.0428379200383403,9.216419973825368e-05,3.686567989530147e-05,0.0,0.0595749387108071,0.0,0.0,0.19199646089473,0.0016958212751838
SAMN54705872,"Southern California, CA",MU,2025-05-21,127706,127706,0,126080,410,1215,1,126385,105,1212,4,54234,72256,1203,13,126486,4,1216,0,112811,13672,428,795,126467,23,1216,0,126471,19,1213,3,126477,9,1220,0,116850,9620,1236,0,127706,0,0,0,127706,0,0,0,86420,40068,1181,37,2,411,109,72269,4,14467,23,22,0,9620,0,0,30409,372,1.0,0.0,0.9872676303384336,0.0032104991151551,0.0095140400607645,7.830485646719809e-06,0.9896559284606832,0.0008222009929055,0.0094905486038244,3.1321942586879236e-05,0.4246785585642021,0.5657995708893866,0.0094200742330039,0.0001017963134073,0.9904468075110018,3.1321942586879236e-05,0.0095218705464112,0.0,0.8833649162921084,0.1070583997619532,0.003351447856796,0.0062252360891422,0.9902980282837142,0.0001801011698745,0.0095218705464112,0.0,0.9903293502263012,0.0001487792272876,0.0094983790894711,2.349145694015943e-05,0.9903763331401814,7.047437082047829e-05,0.0095531924889981,0.0,0.9149922478192096,0.0753292719214445,0.0096784802593456,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6767105695895259,0.3137518988927693,0.009247803548776,0.0002897279689286,1.5660971293439618e-05,0.0032183296008018,0.0008535229354924,0.5659013672027939,3.1321942586879236e-05,0.1132836358510954,0.0001801011698745,0.0001722706842278,0.0,0.0753292719214445,0.0,0.0,0.2381172380311026,0.0029129406605797
SAMN54705873,"Southern California, CA",MU,2025-05-25,90003,90003,0,89473,208,319,3,89624,57,322,0,24664,65017,314,8,89681,0,322,0,86682,2996,165,160,89664,17,322,0,89676,5,321,1,89674,5,324,0,83614,6060,329,0,90003,0,0,0,90003,0,0,0,68263,21417,296,27,1,211,57,65025,0,3156,17,6,0,6060,0,0,15344,127,1.0,0.0,0.9941113074008644,0.0023110340766418,0.0035443263002344,3.333222225925803e-05,0.9957890292545803,0.0006333122229259,0.0035776585224936,0.0,0.2740353099341133,0.722387031543393,0.003488772596469,8.888592602468807e-05,0.9964223414775064,0.0,0.0035776585224936,0.0,0.9631012299590014,0.0332877792962456,0.0018332722242591,0.0017777185204937,0.9962334588847038,0.0001888825928024,0.0035776585224936,0.0,0.9963667877737408,5.555370376543004e-05,0.0035665477817406,1.1110740753086009e-05,0.9963445662922348,5.555370376543004e-05,0.0035998800039998,0.0,0.9290134773285336,0.0673310889637012,0.0036554337077652,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.7584524960279102,0.237958734708843,0.0032887792629134,0.0002999900003333,1.1110740753086009e-05,0.0023443662989011,0.0006333122229259,0.7224759174694176,0.0,0.0350654978167394,0.0001888825928024,6.666444451851606e-05,0.0,0.0673310889637012,0.0,0.0,0.1704832061153517,0.0014110640756419
SAMN54705874,"Southern California, CA",MU,2025-05-28,102717,102717,0,102104,255,352,6,102270,89,355,3,30901,71458,350,8,102359,0,358,0,99214,3142,186,175,102350,9,358,0,102352,7,357,1,102356,2,359,0,91119,11232,366,0,102717,0,0,0,102717,0,0,0,74897,27460,338,22,0,261,92,71466,0,3317,9,8,0,11232,0,0,16186,146,1.0,0.0,0.9940321465774896,0.0024825491398697,0.0034268913617025,5.841292093811151e-05,0.9956482373901108,0.0008664583272486,0.0034560978221715,2.9206460469055756e-05,0.3008362783180973,0.6956784173992621,0.0034074203880565,7.788389458414867e-05,0.9965146957173594,0.0,0.0034853042826406,0.0,0.965896589658966,0.0305888995979243,0.0018108005490814,0.0017037101940282,0.9964270763359522,8.761938140716727e-05,0.0034853042826406,0.0,0.9964465473095984,6.814840776113009e-05,0.0034755687958176,9.735486823018584e-06,0.9964854892568904,1.947097364603717e-05,0.0034950397694636,0.0,0.8870878238266304,0.1093489879961447,0.0035631881772248,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.729158756583623,0.2673364681600903,0.0032905945461802,0.0002141807101064,0.0,0.0025409620608078,0.0008956647877177,0.6957563012938462,0.0,0.0322926097919526,8.761938140716727e-05,7.788389458414867e-05,0.0,0.1093489879961447,0.0,0.0,0.1575785897173788,0.0014213810761607
SAMN54705875,"Southern California, CA",MU,2025-06-01,261301,261301,0,259209,714,1369,9,259749,174,1371,7,74912,185011,1345,33,259917,6,1378,0,244919,14988,624,770,259885,38,1378,0,259901,22,1376,2,259904,10,1387,0,237339,22564,1398,0,261301,0,0,0,261301,0,0,0,200814,59101,1312,74,2,723,181,185043,5,15758,38,24,0,22564,0,0,36463,502,1.0,0.0,0.9919939074094628,0.002732480931952,0.0052391686216279,3.4443036957378654e-05,0.9940604896269054,0.0006658987145093,0.0052468226298406,2.6789028744627843e-05,0.2866885316167944,0.7080378567246203,0.0051473205230749,0.0001262911355103,0.9947034263167764,2.296202463825244e-05,0.0052736116585853,0.0,0.937306018729358,0.0573591375463545,0.0023880505623782,0.002946793161909,0.9945809621853724,0.0001454261560422,0.0052736116585853,0.0,0.9946421942510744,8.419409034025893e-05,0.0052659576503725,7.654008212750812e-06,0.9946536752633937,3.827004106375406e-05,0.0053080546955426,0.0,0.9082973276030324,0.0863525206562546,0.0053501517407128,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.7685160026176708,0.2261797696908928,0.0050210293875645,0.0002831983038717,7.654008212750812e-06,0.0027669239689094,0.0006926877432539,0.7081603208560243,1.913502053187703e-05,0.0603059307082636,0.0001454261560422,9.184809855300977e-05,0.0,0.0863525206562546,0.0,0.0,0.1395440507307664,0.0019211560614004
SAMN54705876,"Southern California, CA",MU,2025-06-04,97366,97366,0,96899,184,280,3,97017,66,282,1,27584,69499,265,18,97083,0,283,0,94624,2456,172,114,97076,7,283,0,97076,7,282,1,97074,7,285,0,86153,10926,287,0,97366,0,0,0,97366,0,0,0,72162,24921,263,20,2,187,67,69517,0,2570,7,8,0,10926,0,0,13953,131,1.0,0.0,0.9952036645235504,0.0018897767187724,0.0028757471807407,3.081157693650761e-05,0.9964155865497196,0.0006778546926031,0.0028962882320317,1.0270525645502536e-05,0.283302179405542,0.7137912618367808,0.0027216892960581,0.000184869461619,0.9970934412423228,0.0,0.0029065587576772,0.0,0.971838218680032,0.0252244109853542,0.0017665304110264,0.0011708399235872,0.9970215475628044,7.189367951851776e-05,0.0029065587576772,0.0,0.9970215475628044,7.189367951851776e-05,0.0028962882320317,1.0270525645502536e-05,0.9970010065115132,7.189367951851776e-05,0.0029270998089682,0.0,0.88483659593698,0.1122157632027607,0.0029476408602592,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.7411416716307541,0.2559517696115687,0.0027011482447671,0.00020541051291,2.0541051291005072e-05,0.0019205882957089,0.0006881252182486,0.7139761312983999,0.0,0.0263952509089415,7.189367951851776e-05,8.216420516402029e-05,0.0,0.1122157632027607,0.0,0.0,0.1433046443316969,0.0013454388595608
SAMN54705877,"Southern California, CA",MU,2025-06-08,377346,377346,0,374975,857,1500,14,375547,285,1507,7,104251,271581,1430,84,375822,10,1514,0,362759,13061,747,779,375740,92,1514,0,375806,26,1512,2,375814,10,1522,0,343159,32617,1570,0,377346,0,0,0,377346,0,0,0,285608,90220,1431,87,5,871,292,271664,10,13840,92,28,0,32617,0,0,57374,558,1.0,0.0,0.9937166420208507,0.0022711251742432,0.0039751315768551,3.710122805064848e-05,0.9952324921954916,0.0007552749996024,0.0039936821908805,1.855061402532424e-05,0.2762742946791539,0.7197134725159403,0.0037896254366019,0.0002226073683038,0.9959612663179152,2.6500877179034623e-05,0.0040122328049058,0.0,0.9613431704589422,0.0346127956835371,0.0019796155252738,0.0020644183322467,0.995743959125047,0.0002438080700471,0.0040122328049058,0.0,0.9959188649144288,6.890228066549003e-05,0.00400693262947,5.3001754358069255e-06,0.995940065616172,2.6500877179034623e-05,0.004033433506649,0.0,0.9094014511880344,0.0864379110948572,0.0041606377171084,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.7568862529349721,0.2390909139092503,0.0037922755243198,0.0002305576314576,1.3250438589517311e-05,0.0023082264022939,0.0007738256136278,0.7199334297965263,2.6500877179034623e-05,0.0366772140157839,0.0002438080700471,7.420245610129695e-05,0.0,0.0864379110948572,0.0,0.0,0.1520461327269932,0.0014787489465901
SAMN54705878,"Southern California, CA",MU,2025-06-11,68972,68972,0,68616,140,215,1,68677,79,216,0,20955,47801,206,10,68755,1,216,0,67235,1521,159,57,68753,3,216,0,68753,3,216,0,68754,2,216,0,62041,6700,231,0,68972,0,0,0,68972,0,0,0,49506,19250,197,19,1,141,79,47811,1,1578,3,3,0,6700,0,0,12526,130,1.0,0.0,0.9948384851823928,0.0020298091979353,0.0031172069825436,1.4498637128109955e-05,0.9957229020472076,0.0011453923331206,0.0031317056196717,0.0,0.3038189410195441,0.6930493533607841,0.0029867192483906,0.000144986371281,0.9968537957432,1.4498637128109955e-05,0.0031317056196717,0.0,0.974815867308473,0.0220524270718552,0.0023052833033694,0.0008264223163022,0.996824798468944,4.349591138432987e-05,0.0031317056196717,0.0,0.996824798468944,4.349591138432987e-05,0.0031317056196717,0.0,0.996839297106072,2.899727425621991e-05,0.0031317056196717,0.0,0.8995099460650698,0.0971408687583367,0.0033491851765934,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.7177695296642116,0.2790987647161166,0.0028562315142376,0.000275474105434,1.4498637128109955e-05,0.0020443078350635,0.0011453923331206,0.6931943397320652,1.4498637128109955e-05,0.0228788493881575,4.349591138432987e-05,4.349591138432987e-05,0.0,0.0971408687583367,0.0,0.0,0.1816099286667053,0.0018848228266542
SAMN54705879,"Southern California, CA",MU,2025-06-15,172897,172897,0,171553,367,974,3,171767,153,974,3,45238,126682,948,29,171915,5,977,0,163630,8282,369,616,171897,23,977,0,171910,10,976,1,171910,6,981,0,158809,13086,1002,0,172897,0,0,0,172897,0,0,0,135441,36476,913,67,4,370,156,126711,5,8898,23,10,0,13086,0,0,23368,270,1.0,0.0,0.992226585770719,0.0021226510581444,0.005633411800089,1.735137104750227e-05,0.9934643169054408,0.0008849199234226,0.005633411800089,1.735137104750227e-05,0.2616471078156359,0.7327021290132275,0.0054830332510107,0.0001677299201258,0.9943203178771176,2.8918951745837116e-05,0.0056507631711365,0.0,0.9464016148342654,0.0479013516718046,0.0021342186388427,0.0035628148550871,0.9942162096508326,0.0001330271780308,0.0056507631711365,0.0,0.9942913989253718,5.783790349167423e-05,0.0056449793807874,5.783790349167424e-06,0.9942913989253718,3.470274209500454e-05,0.0056738983325332,0.0,0.9185179615609294,0.0756866805092049,0.0057953579298657,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.7833623486815849,0.2109695367762309,0.0052806005887898,0.0003875139533942,2.3135161396669695e-05,0.0021400024291919,0.0009022712944701,0.7328698589333534,2.8918951745837116e-05,0.0514641665268917,0.0001330271780308,5.783790349167423e-05,0.0,0.0756866805092049,0.0,0.0,0.1351556128793443,0.0015616233942752
SAMN54705880,"Southern California, CA",MU,2025-06-18,233913,233913,0,232648,440,818,7,232898,190,824,1,49946,183142,776,49,233086,2,825,0,226756,6326,502,329,233069,19,825,0,233069,19,823,2,233071,14,828,0,216482,16583,848,0,233913,0,0,0,233913,0,0,0,190008,43077,756,72,2,447,190,183190,2,6655,19,21,0,16583,0,0,26433,373,1.0,0.0,0.994592006429741,0.0018810412418292,0.0034970266723097,2.992565612001043e-05,0.9956607798625984,0.0008122678089717,0.0035226772346983,4.275093731430062e-06,0.2135238315100058,0.7829492161615643,0.0033174727355897,0.00020947959284,0.9964644974841074,8.550187462860123e-06,0.0035269523284298,0.0,0.969403154164155,0.0270442429450265,0.0021460970531778,0.0014065058376404,0.996391820890673,8.122678089717117e-05,0.0035269523284298,0.0,0.996391820890673,8.122678089717117e-05,0.0035184021409669,8.550187462860123e-06,0.9964003710781358,5.985131224002086e-05,0.003539777609624,0.0,0.9254808411674426,0.0708938793483047,0.0036252794842526,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8123020097215632,0.1841582126688127,0.0032319708609611,0.0003078067486629,8.550187462860123e-06,0.0019109668979492,0.0008122678089717,0.783154420660673,8.550187462860123e-06,0.028450748782667,8.122678089717117e-05,8.97769683600313e-05,0.0,0.0708938793483047,0.0,0.0,0.1130035526028908,0.0015946099618234
SAMN54705881,"Southern California, CA",MU,2025-06-22,212993,212993,0,211817,334,834,8,211763,388,835,7,49269,162882,788,54,212149,2,842,0,205755,6389,473,376,212139,12,842,0,212129,22,840,2,212136,12,845,0,199099,13029,865,0,212993,0,0,0,212993,0,0,0,169943,42205,765,80,1,342,395,162935,2,6765,12,24,0,13029,0,0,29166,323,1.0,0.0,0.9944786917879932,0.0015681266520495,0.0039156216401477,3.7559919809571205e-05,0.9942251623292784,0.0018216561107642,0.0039203166301239,3.286492983337481e-05,0.2313174611372204,0.7647293573028222,0.0036996521012427,0.0002535294587146,0.9960374284600902,9.3899799523928e-06,0.0039531815599573,0.0,0.9660176625522904,0.0299962909579188,0.0022207302587408,0.0017653162310498,0.9959904785603284,5.633987971435681e-05,0.0039531815599573,0.0,0.9959435286605663,0.0001032897794763,0.0039437915800049,9.3899799523928e-06,0.9959763935903996,5.633987971435681e-05,0.0039672665298859,0.0,0.9347678092707272,0.0611710243998629,0.0040611663294098,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.7978806815247449,0.198152051945369,0.0035916673317902,0.0003755991980957,4.694989976196401e-06,0.0016056865718591,0.0018545210405975,0.7649781917715606,9.3899799523928e-06,0.0317616071889686,5.633987971435681e-05,0.0001126797594287,0.0,0.0611710243998629,0.0,0.0,0.1369340776457442,0.0015164817623114
SAMN54705882,"Southern California, CA",MU,2025-06-25,154574,154574,0,153796,223,544,11,153874,145,552,3,31043,122976,527,28,154017,2,555,0,149803,4213,316,242,154006,13,555,0,154012,7,553,2,154012,5,557,0,146577,7427,570,0,154574,0,0,0,154574,0,0,0,127528,26490,510,46,3,234,147,123004,2,4455,13,9,0,7427,0,0,19054,229,1.0,0.0,0.9949668120123696,0.001442674705966,0.0035193499553611,7.116332630325928e-05,0.9954714246897926,0.0009380620285429,0.0035711051017635,1.9408179900888895e-05,0.2008293762210979,0.7955801104972375,0.0034093702692561,0.0001811430124082,0.9963965479317348,1.2938786600592596e-05,0.0035905132816644,0.0,0.9691345245642864,0.0272555539741483,0.0020443282828936,0.0015655931786717,0.9963253846054316,8.410211290385188e-05,0.0035905132816644,0.0,0.9963642009652336,4.528575310207409e-05,0.0035775744950638,1.2938786600592596e-05,0.9963642009652336,3.234696650148149e-05,0.003603452068265,0.0,0.9482642617775304,0.0480481840413006,0.0036875541811688,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8250287888001863,0.1713742285248489,0.0032993905831511,0.0002975920918136,1.9408179900888895e-05,0.0015138380322693,0.0009510008151435,0.7957612535096459,1.2938786600592596e-05,0.02882114715282,8.410211290385188e-05,5.822453970266668e-05,0.0,0.0480481840413006,0.0,0.0,0.1232678199438456,0.0014814910657678
SAMN54705883,"Southern California, CA",MU,2025-06-29,302615,302614,1,300703,478,1413,20,300978,203,1433,0,89539,211642,1334,99,301177,4,1433,0,287956,13216,786,656,301141,40,1433,0,301145,36,1426,7,301158,16,1440,0,277132,24013,1469,0,302614,0,0,0,302614,0,0,0,225524,75655,1331,104,9,498,203,211738,3,13872,40,43,0,24013,0,0,51639,565,0.9999966954711432,3.304528856798242e-06,0.9936817408258016,0.0015795647935495,0.0046692992746559,6.609057713596485e-05,0.9945904862614212,0.00067081935793,0.0047353898517918,0.0,0.2958842093088578,0.6993770963104935,0.0044082414949688,0.000327148356823,0.995248087503924,1.3218115427192968e-05,0.0047353898517918,0.0,0.9515589114881946,0.0436726533714455,0.0025973596814434,0.0021677709300596,0.9951291244650794,0.0001321811542719,0.0047353898517918,0.0,0.9951423425805066,0.0001189630388447,0.0047122581497942,2.3131701997587697e-05,0.995185301455645,5.2872461708771873e-05,0.0047585215537894,0.0,0.9157906911422103,0.0793516514382961,0.0048543528906366,0.0,0.9999966954711432,0.0,0.0,0.0,0.9999966954711432,0.0,0.0,0.0,0.7452505659005667,0.250004130661071,0.0043983279083984,0.000343671001107,2.9740759711184176e-05,0.0016456553706855,0.00067081935793,0.6996943310807462,9.913586570394724e-06,0.0458404243015052,0.0001321811542719,0.0001420947408423,0.0,0.0793516514382961,0.0,0.0,0.1706425656362044,0.001867058804091
SAMN54705884,"Southern California, CA",MU,2025-07-02,107345,107345,0,106695,193,453,4,106831,57,457,0,24384,82504,427,30,106888,0,457,0,102632,4255,289,169,106880,8,457,0,106874,14,453,4,106878,10,457,0,101014,5866,465,0,107345,0,0,0,107345,0,0,0,86991,19896,410,48,2,197,57,82534,0,4424,8,18,0,5866,0,0,14036,205,1.0,0.0,0.9939447575574084,0.0017979412175695,0.0042200381946061,3.7263030415948574e-05,0.9952117005915506,0.0005309981834272,0.0042573012250221,0.0,0.2271554334156225,0.7685872653593554,0.0039778284969025,0.0002794727281196,0.995742698774978,0.0,0.0042573012250221,0.0,0.9560948344124086,0.0396385486049652,0.0026922539475522,0.0015743630350738,0.995668172714146,7.452606083189715e-05,0.0042573012250221,0.0,0.995612278168522,0.0001304206064558,0.0042200381946061,3.7263030415948574e-05,0.995649541198938,9.315757603987145e-05,0.0042573012250221,0.0,0.9410219386091574,0.0546462341049885,0.004331827285854,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8103870697284457,0.1853463132889282,0.0038194606176347,0.0004471563649913,1.8631515207974287e-05,0.0018352042479854,0.0005309981834272,0.768866738087475,0.0,0.0412129116400391,7.452606083189715e-05,0.0001676836368717,0.0,0.0546462341049885,0.0,0.0,0.1307559737295635,0.0019097303088173
