sra_accession,site_name,sequencing_lab,date,n_reads_virus_10239_total,n_reads_virus_annotated,n_reads_virus_not_annotated,n_reads_virus_vertebrate_7742_status_0,n_reads_virus_vertebrate_7742_status_1,n_reads_virus_vertebrate_7742_status_2,n_reads_virus_vertebrate_7742_status_3,n_reads_virus_invertebrate_33208m7742_status_0,n_reads_virus_invertebrate_33208m7742_status_1,n_reads_virus_invertebrate_33208m7742_status_2,n_reads_virus_invertebrate_33208m7742_status_3,n_reads_virus_plant_33090_status_0,n_reads_virus_plant_33090_status_1,n_reads_virus_plant_33090_status_2,n_reads_virus_plant_33090_status_3,n_reads_virus_fungi_4751_status_0,n_reads_virus_fungi_4751_status_1,n_reads_virus_fungi_4751_status_2,n_reads_virus_fungi_4751_status_3,n_reads_virus_bacteria_2_status_0,n_reads_virus_bacteria_2_status_1,n_reads_virus_bacteria_2_status_2,n_reads_virus_bacteria_2_status_3,n_reads_virus_archaea_2157_status_0,n_reads_virus_archaea_2157_status_1,n_reads_virus_archaea_2157_status_2,n_reads_virus_archaea_2157_status_3,n_reads_virus_other_eukaryote_2759mMFP_status_0,n_reads_virus_other_eukaryote_2759mMFP_status_1,n_reads_virus_other_eukaryote_2759mMFP_status_2,n_reads_virus_other_eukaryote_2759mMFP_status_3,n_reads_virus_virus_10239_status_0,n_reads_virus_virus_10239_status_1,n_reads_virus_virus_10239_status_2,n_reads_virus_virus_10239_status_3,n_reads_virus_metagenome_408169_status_0,n_reads_virus_metagenome_408169_status_1,n_reads_virus_metagenome_408169_status_2,n_reads_virus_metagenome_408169_status_3,n_reads_virus_unclassified_2787823m408169_status_0,n_reads_virus_unclassified_2787823m408169_status_1,n_reads_virus_unclassified_2787823m408169_status_2,n_reads_virus_unclassified_2787823m408169_status_3,n_reads_virus_other_entries_2787854_status_0,n_reads_virus_other_entries_2787854_status_1,n_reads_virus_other_entries_2787854_status_2,n_reads_virus_other_entries_2787854_status_3,n_reads_virus_host_root_1_status_0,n_reads_virus_host_root_1_status_1,n_reads_virus_host_root_1_status_2,n_reads_virus_host_root_1_status_3,n_reads_virus_unknown,n_reads_virus_vertebrate_7742_exclusive,n_reads_virus_invertebrate_33208m7742_exclusive,n_reads_virus_plant_33090_exclusive,n_reads_virus_fungi_4751_exclusive,n_reads_virus_bacteria_2_exclusive,n_reads_virus_archaea_2157_exclusive,n_reads_virus_other_eukaryote_2759mMFP_exclusive,n_reads_virus_virus_10239_exclusive,n_reads_virus_metagenome_408169_exclusive,n_reads_virus_unclassified_2787823m408169_exclusive,n_reads_virus_other_entries_2787854_exclusive,n_reads_virus_host_root_1_exclusive,n_reads_virus_unknown_exclusive,fraction_virus_annotated,fraction_virus_not_annotated,fraction_virus_vertebrate_7742_status_0,fraction_virus_vertebrate_7742_status_1,fraction_virus_vertebrate_7742_status_2,fraction_virus_vertebrate_7742_status_3,fraction_virus_invertebrate_33208m7742_status_0,fraction_virus_invertebrate_33208m7742_status_1,fraction_virus_invertebrate_33208m7742_status_2,fraction_virus_invertebrate_33208m7742_status_3,fraction_virus_plant_33090_status_0,fraction_virus_plant_33090_status_1,fraction_virus_plant_33090_status_2,fraction_virus_plant_33090_status_3,fraction_virus_fungi_4751_status_0,fraction_virus_fungi_4751_status_1,fraction_virus_fungi_4751_status_2,fraction_virus_fungi_4751_status_3,fraction_virus_bacteria_2_status_0,fraction_virus_bacteria_2_status_1,fraction_virus_bacteria_2_status_2,fraction_virus_bacteria_2_status_3,fraction_virus_archaea_2157_status_0,fraction_virus_archaea_2157_status_1,fraction_virus_archaea_2157_status_2,fraction_virus_archaea_2157_status_3,fraction_virus_other_eukaryote_2759mMFP_status_0,fraction_virus_other_eukaryote_2759mMFP_status_1,fraction_virus_other_eukaryote_2759mMFP_status_2,fraction_virus_other_eukaryote_2759mMFP_status_3,fraction_virus_virus_10239_status_0,fraction_virus_virus_10239_status_1,fraction_virus_virus_10239_status_2,fraction_virus_virus_10239_status_3,fraction_virus_metagenome_408169_status_0,fraction_virus_metagenome_408169_status_1,fraction_virus_metagenome_408169_status_2,fraction_virus_metagenome_408169_status_3,fraction_virus_unclassified_2787823m408169_status_0,fraction_virus_unclassified_2787823m408169_status_1,fraction_virus_unclassified_2787823m408169_status_2,fraction_virus_unclassified_2787823m408169_status_3,fraction_virus_other_entries_2787854_status_0,fraction_virus_other_entries_2787854_status_1,fraction_virus_other_entries_2787854_status_2,fraction_virus_other_entries_2787854_status_3,fraction_virus_host_root_1_status_0,fraction_virus_host_root_1_status_1,fraction_virus_host_root_1_status_2,fraction_virus_host_root_1_status_3,fraction_virus_unknown,fraction_virus_vertebrate_7742_exclusive,fraction_virus_invertebrate_33208m7742_exclusive,fraction_virus_plant_33090_exclusive,fraction_virus_fungi_4751_exclusive,fraction_virus_bacteria_2_exclusive,fraction_virus_archaea_2157_exclusive,fraction_virus_other_eukaryote_2759mMFP_exclusive,fraction_virus_virus_10239_exclusive,fraction_virus_metagenome_408169_exclusive,fraction_virus_unclassified_2787823m408169_exclusive,fraction_virus_other_entries_2787854_exclusive,fraction_virus_host_root_1_exclusive,fraction_virus_unknown_exclusive
SAMN52958985,"Columbia WWTP, MO",MU,2024-03-05,155404,155404,0,152684,1825,889,6,154374,135,881,14,115835,38674,851,44,154501,8,895,0,136746,17755,470,433,154478,31,895,0,154488,21,893,2,154491,11,902,0,152923,1571,910,0,155404,0,0,0,155404,0,0,0,58410,96098,872,24,0,1831,149,38718,8,18188,31,23,0,1571,0,0,94505,380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMN52958986,"Columbia WWTP, MO",MU,2024-03-12,122853,122853,0,120349,1776,721,7,121988,137,718,10,84277,37848,710,18,122119,6,728,0,114036,8086,351,380,122103,22,728,0,122112,13,727,1,122114,8,731,0,120837,1275,741,0,122853,0,0,0,122853,0,0,0,47862,74263,710,18,1,1783,147,37865,6,8466,22,14,0,1275,0,0,72977,298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMN52958987,"Columbia WWTP, MO",MU,2024-03-19,72194,72194,0,70703,967,518,6,71618,52,523,1,50218,21452,507,17,71670,0,524,0,49633,22032,243,286,71621,49,524,0,71662,8,524,0,71660,5,529,0,71069,596,529,0,72194,0,0,0,72194,0,0,0,44552,27118,514,10,0,973,53,21469,0,22318,49,8,0,596,0,0,26519,209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMN52958988,"Columbia WWTP, MO",MU,2024-03-26,70821,70821,0,69758,813,239,11,70342,229,244,6,49833,20738,204,46,70563,8,250,0,52641,17929,209,42,70560,11,250,0,70563,8,250,0,70556,15,250,0,69978,584,259,0,70821,0,0,0,70821,0,0,0,39716,30854,242,9,1,824,235,20784,8,17971,11,8,0,584,0,0,30258,138,1.0,0.0,0.9849903277276514,0.011479645867751,0.0033747052427952,0.0001553211618022,0.9932364694087912,0.0032335041866113,0.0034453057708871,8.472063371034016e-05,0.7036472232812302,0.2928227503141724,0.0028805015461515,0.0006495248584459,0.9963570127504554,0.0001129608449471,0.0035300264045975,0.0,0.7432964798576693,0.2531593736321147,0.0029511020742435,0.0005930444359723,0.9963146524336002,0.0001553211618022,0.0035300264045975,0.0,0.9963570127504554,0.0001129608449471,0.0035300264045975,0.0,0.9962581720111268,0.0002118015842758,0.0035300264045975,0.0,0.9880967509636972,0.0082461416811397,0.003657107355163,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5607941147399782,0.4356617387498058,0.0034170655596503,0.0001270809505655,1.4120105618390026e-05,0.0116349670295533,0.0033182248203216,0.2934722751726183,0.0001129608449471,0.2537524180680871,0.0001553211618022,0.0001129608449471,0.0,0.0082461416811397,0.0,0.0,0.4272461558012454,0.0019485745753378
SAMN52958989,"Columbia WWTP, MO",MU,2024-04-02,54787,54787,0,53756,871,150,10,54556,71,159,1,33819,20808,129,31,54624,3,160,0,51769,2857,138,23,54616,11,160,0,54612,15,159,1,54615,12,160,0,54026,596,165,0,54787,0,0,0,54787,0,0,0,24622,30004,149,12,0,881,71,20839,3,2880,11,16,0,596,0,0,29407,83,1.0,0.0,0.9811816671838208,0.0158979319911657,0.0027378757734499,0.0001825250515633,0.9957836713088872,0.0012959278660996,0.0029021483198569,1.8252505156332702e-05,0.6172814718820158,0.3797981272929709,0.0023545731651669,0.0005658276598463,0.9970248416595178,5.475751546899812e-05,0.0029204008250132,0.0,0.944913939438188,0.0521474072316425,0.0025188457115739,0.0004198076185956,0.9968788216182672,0.0002007775567196,0.0029204008250132,0.0,0.9968058115976418,0.0002737875773449,0.0029021483198569,1.8252505156332702e-05,0.9968605691131108,0.0002190300618759,0.0029204008250132,0.0,0.9861098435760308,0.0108784930731742,0.0030116633507948,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.4494131819592239,0.5476481647106065,0.0027196232682935,0.0002190300618759,0.0,0.0160804570427291,0.0012959278660996,0.3803639549528173,5.475751546899812e-05,0.0525672148502381,0.0002007775567196,0.0002920400825013,0.0,0.0108784930731742,0.0,0.0,0.5367514191322759,0.0015149579279756
SAMN52958990,"Columbia WWTP, MO",MU,2024-04-09,38973,38973,0,38047,679,241,6,38681,45,243,4,19473,19253,233,14,38724,2,247,0,35951,2773,188,61,38716,10,247,0,38722,4,247,0,38722,2,249,0,38326,393,254,0,38973,0,0,0,38973,0,0,0,22758,15968,196,51,2,685,49,19267,2,2834,10,4,0,393,0,0,15614,115,1.0,0.0,0.97623996099864,0.017422318015036,0.0061837682498139,0.0001539527365098,0.992507633489852,0.0011546455238241,0.0062350858286506,0.0001026351576732,0.4996536063428527,0.4940086726708234,0.0059784979344674,0.0003592230518564,0.9936109614348396,5.1317578836630486e-05,0.0063377209863238,0.0,0.9224591383778512,0.0711518230569881,0.0048238524106432,0.0015651861545172,0.993405691119493,0.0002565878941831,0.0063377209863238,0.0,0.9935596438560028,0.0001026351576732,0.0063377209863238,0.0,0.9935596438560028,5.1317578836630486e-05,0.0063890385651604,0.0,0.98339876324635,0.0100839042413978,0.006517332512252,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5839427295820183,0.4097195494316578,0.0050291227259897,0.001308598260334,5.1317578836630486e-05,0.0175762707515459,0.0012572806814974,0.4943678957226798,5.1317578836630486e-05,0.0727170092115054,0.0002565878941831,0.0001026351576732,0.0,0.0100839042413978,0.0,0.0,0.4006363379775742,0.0029507607831062
SAMN52958991,"Columbia WWTP, MO",MU,2024-04-16,42908,42908,0,42289,408,209,2,42657,40,209,2,21260,21437,201,10,42696,1,211,0,40840,1853,157,58,42662,35,211,0,42696,1,211,0,42694,1,213,0,42161,529,218,0,42908,0,0,0,42908,0,0,0,23768,18927,199,14,0,410,42,21447,1,1911,35,1,0,529,0,0,18403,129,1.0,0.0,0.9855737857742146,0.0095087163232963,0.004870886547963,4.661135452596253e-05,0.9941502750069916,0.0009322270905192,0.004870886547963,4.661135452596253e-05,0.4954786986109816,0.4996038034865293,0.0046844411298592,0.0002330567726298,0.995059196420248,2.3305677262981263e-05,0.004917497902489,0.0,0.9518038594201548,0.0431854199683042,0.003658991330288,0.0013517292812529,0.9942668033933066,0.0008156987042043,0.004917497902489,0.0,0.995059196420248,2.3305677262981263e-05,0.004917497902489,0.0,0.995012585065722,2.3305677262981263e-05,0.004964109257015,0.0,0.982590659084553,0.012328703272117,0.0050806376433299,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5539293371865387,0.4411065535564463,0.0046378297753332,0.0003262794816817,0.0,0.0095553276778223,0.0009788384450452,0.4998368602591591,2.3305677262981263e-05,0.0445371492495571,0.0008156987042043,2.3305677262981263e-05,0.0,0.012328703272117,0.0,0.0,0.4288943786706441,0.0030064323669245
SAMN52958992,"Columbia WWTP, MO",MU,2024-04-23,141466,141466,0,138728,2251,477,10,140858,121,479,8,44324,96655,462,25,140975,4,487,0,138092,2876,356,142,140977,2,487,0,140911,68,482,5,140976,3,487,0,139115,1840,511,0,141466,0,0,0,141466,0,0,0,101931,39037,475,23,0,2261,129,96678,3,3018,2,68,0,1840,0,0,37181,286,1.0,0.0,0.980645526133488,0.0159119505746963,0.003371834928534,7.068836328163658e-05,0.9957021475124764,0.0008553291957078,0.0033859726011903,5.655069062530926e-05,0.3133191014095259,0.6832383752986584,0.0032658023836116,0.000176720908204,0.9965292013628716,2.827534531265463e-05,0.0034425232918157,0.0,0.9761497462287758,0.0203299732797986,0.0025165057328262,0.0010037747585992,0.996543339035528,1.4137672656327316e-05,0.0034425232918157,0.0,0.9960767958378692,0.0004806808703151,0.0034071791101748,3.534418164081829e-05,0.9965362701991998,2.1206508984490975e-05,0.0034425232918157,0.0,0.9833811657924872,0.0130066588438211,0.0036121753636916,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.7205335557660498,0.2759461637425247,0.0033576972558777,0.0001625832355477,0.0,0.015982638937978,0.0009118798863331,0.6834009585342061,2.1206508984490975e-05,0.0213337480383979,1.4137672656327316e-05,0.0004806808703151,0.0,0.0130066588438211,0.0,0.0,0.2628264035174529,0.0020216871898548
SAMN52958993,"Columbia WWTP, MO",MU,2024-04-30,134348,134348,0,133031,578,724,15,133319,290,733,6,30332,103277,363,376,133596,13,739,0,132141,1463,702,42,133606,3,739,0,133390,219,736,3,133333,276,739,0,132878,695,775,0,134348,0,0,0,134348,0,0,0,105815,27789,666,78,0,593,296,103651,11,1505,3,222,0,695,0,0,27148,224,1.0,0.0,0.9901971000684788,0.0043022598028999,0.0053889897877154,0.0001116503409057,0.9923407866138684,0.0021585732575103,0.0054559799922589,4.466013636228303e-05,0.2257718760234614,0.7687274838479173,0.0027019382499181,0.002798701878703,0.994402596242594,9.676362878494656e-05,0.0055006401286211,0.0,0.9835725131747404,0.0108896299163366,0.0052252359543871,0.0003126209545359,0.9944770298031976,2.2330068181141513e-05,0.0055006401286211,0.0,0.9928692648941556,0.0016300949772233,0.00547831006044,2.2330068181141513e-05,0.9924449935987136,0.002054366272665,0.0055006401286211,0.0,0.9890582665912406,0.0051731324619644,0.0057686009467948,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.7876187215291631,0.2068434215619138,0.0049572751362134,0.0005805817727096,0.0,0.0044139101438056,0.0022032333938726,0.7715112990144997,8.187691666418554e-05,0.0112022508708726,2.2330068181141513e-05,0.0016524250454044,0.0,0.0051731324619644,0.0,0.0,0.2020722303272099,0.0016673117575252
SAMN52958994,"Columbia WWTP, MO",MU,2024-05-07,117497,117497,0,115610,1523,343,21,116892,241,358,6,21459,95674,320,44,117121,12,364,0,114734,2393,289,81,117129,4,364,0,117084,49,363,1,117091,42,364,0,116674,440,383,0,117497,0,0,0,117497,0,0,0,99835,17292,343,27,0,1544,246,95718,10,2474,4,49,0,440,0,0,16822,190,1.0,0.0,0.9839400154897572,0.0129620330731848,0.0029192234695353,0.0001787279675225,0.9948509323642306,0.0020511161987114,0.00304688630348,5.106513357787858e-05,0.1826344502412827,0.8142675983216593,0.0027234737908201,0.0003744776462377,0.9967999182957864,0.0001021302671557,0.0030979514370579,0.0,0.9764845059873868,0.0203664774419772,0.0024596372673344,0.0006893793033013,0.9968680051405568,3.404342238525239e-05,0.0030979514370579,0.0,0.9964850166387228,0.0004170319242193,0.0030894405814616,8.510855596313098e-06,0.9965445926278969,0.0003574559350451,0.0030979514370579,0.0,0.9929955658442344,0.0037447764623777,0.0032596576933879,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.849681268457918,0.147169714971446,0.0029192234695353,0.0002297931011004,0.0,0.0131407610407074,0.002093670476693,0.8146420759678971,8.510855596313097e-05,0.0210558567452786,3.404342238525239e-05,0.0004170319242193,0.0,0.0037447764623777,0.0,0.0,0.1431696128411789,0.0016170625632994
