sra_accession,site_name,date,n_reads_profiled,total_read_pairs,n_reads_classified_1_clade_non_rrna,n_reads_classified_1_clade_rrna,n_reads_unclassified_0_clade_non_rrna,n_reads_unclassified_0_clade_rrna,n_reads_root_direct_1_non_rrna,n_reads_root_direct_1_rrna,rrna_fraction,n_reads_cellular_organisms_131567_clade_non_rrna,n_reads_cellular_organisms_131567_clade_rrna,n_reads_cellular_organisms_131567_direct_non_rrna,n_reads_cellular_organisms_131567_direct_rrna,n_reads_bacteria_2_clade_non_rrna,n_reads_bacteria_2_clade_rrna,n_reads_archaea_2157_clade_non_rrna,n_reads_archaea_2157_clade_rrna,n_reads_eukaryota_2759_clade_non_rrna,n_reads_eukaryota_2759_clade_rrna,n_reads_viruses_10239_clade_non_rrna,n_reads_viruses_10239_clade_rrna,n_reads_unclassified_entries_2787823_clade_non_rrna,n_reads_unclassified_entries_2787823_clade_rrna,n_reads_other_entries_2787854_clade_non_rrna,n_reads_other_entries_2787854_clade_rrna,n_reads_pmmov_12239_clade_non_rrna,n_reads_tobamovirus_12234_clade_non_rrna,n_reads_tbrv_12275_clade_non_rrna,n_reads_tobrfv_3432872_clade_non_rrna,n_reads_tmv_3432892_clade_non_rrna,n_reads_cgmmv_3432895_clade_non_rrna,fraction_classified_1_clade_non_rrna,fraction_classified_1_clade_rrna,fraction_unclassified_0_clade_non_rrna,fraction_unclassified_0_clade_rrna,fraction_root_direct_1_non_rrna,fraction_root_direct_1_rrna,fraction_cellular_organisms_131567_clade_non_rrna,fraction_cellular_organisms_131567_clade_rrna,fraction_cellular_organisms_131567_direct_non_rrna,fraction_cellular_organisms_131567_direct_rrna,fraction_bacteria_2_clade_non_rrna,fraction_bacteria_2_clade_rrna,fraction_archaea_2157_clade_non_rrna,fraction_archaea_2157_clade_rrna,fraction_eukaryota_2759_clade_non_rrna,fraction_eukaryota_2759_clade_rrna,fraction_viruses_10239_clade_non_rrna,fraction_viruses_10239_clade_rrna,fraction_unclassified_entries_2787823_clade_non_rrna,fraction_unclassified_entries_2787823_clade_rrna,fraction_other_entries_2787854_clade_non_rrna,fraction_other_entries_2787854_clade_rrna,fraction_pmmov_12239_clade_non_rrna,fraction_tobamovirus_12234_clade_non_rrna,fraction_tbrv_12275_clade_non_rrna,fraction_tobrfv_3432872_clade_non_rrna,fraction_tmv_3432892_clade_non_rrna,fraction_cgmmv_3432895_clade_non_rrna
SAMN55951623,"Boston DITP South, MA (SB)",2025-07-02,976981,1187294516,17913,942655,14028,2385,24,16,0.9673064266347042,16369,942540,56,584,15852,921414,415,20057,46,485,1501,99,0,0,19,0,26,777,0,593,2,124,0.0183350546223519,0.9648652327936776,0.0143585187429438,0.0024411938410265,2.456547261410406e-05,1.637698174273604e-05,0.0167546758841778,0.9647475232374018,5.731943609957614e-05,0.0005977598336098,0.0162254946616157,0.9431237659688366,0.0004247779639522,0.0205295701758785,4.708382251036612e-05,0.0004964272590766,0.0015363655997404,0.0001013325745331,0.0,0.0,1.9447665819499048e-05,0.0,2.6612595331946066e-05,0.0007953071758816,0.0,0.0006069718858401,2.047122717842005e-06,0.0001269216085062
SAMN55951625,"Boston DITP South, MA (SB)",2025-07-09,986328,1226108604,79724,615868,248098,42638,157,459,0.6676338905516218,46567,614003,983,23043,35533,327777,8594,246150,1457,17033,32998,1406,0,0,2,0,653,21394,0,17989,66,2151,0.0808290953922021,0.6244048632909134,0.251537014056176,0.0432290272607084,0.0001591762577965,0.0004653624352142,0.0472124891516817,0.6225140115661322,0.0009966258688793,0.0233624108815728,0.0360255411992765,0.33232048568022,0.0087131258567129,0.2495620118256807,0.0014771962268129,0.0172691031786586,0.0334554022596945,0.0014254892895669,0.0,0.0,2.027723029255988e-06,0.0,0.000662051569052,0.0216905532439513,0.0,0.0182383547866429,6.69148599654476e-05,0.0021808161179648
SAMN55951627,"Boston DITP South, MA (SB)",2025-07-16,757508,2087620769,108430,162222,450798,36058,538,5,0.2617530111893207,20877,162173,1129,7538,15521,134947,523,8372,3704,11316,86254,44,0,0,761,0,1828,68911,0,55547,455,9630,0.1431404024775976,0.2141521937722109,0.5951065863330817,0.0476008174171097,0.0007102235223918,6.600590356801513e-06,0.027560104975789,0.2140875079867143,0.0014904133025657,0.0099510500219139,0.0204895525855832,0.1781459733758587,0.0006904217513214,0.0110520284934284,0.0048897173363185,0.0149384560955131,0.1138654641271115,5.808519513985331e-05,0.0,0.0,0.0010046098523051,0.0,0.0024131758344466,0.0909706564155098,0.0,0.0733285985098507,0.0006006537224689,0.0127127370271997
SAMN55951629,"Boston DITP South, MA (SB)",2025-07-23,986349,1020456499,47103,823231,90112,25903,55,217,0.8608859541602415,25309,821853,369,11934,23182,792730,1217,8602,541,8587,21739,1161,0,0,0,0,215,5132,0,4192,94,466,0.047754902169516,0.834624458482748,0.0913591436702424,0.0262614956774934,5.576119608779448e-05,0.0002200032645645,0.0256592747597452,0.8332273870607665,0.0003741069337526,0.0120991657111225,0.0235028372310409,0.8037013268123149,0.0012338431934335,0.008721051068131,0.0005484874015181,0.008705843469198,0.0220398662136829,0.0011770681574168,0.0,0.0,0.0,0.0,0.0002179755847068,0.0052030265149556,0.0,0.0042500169818188,9.530095331368513e-05,0.0004724494068529
SAMN55951631,"Boston DITP South, MA (SB)",2025-07-30,562790,1700866657,50672,297697,196934,17487,24,50,0.560038380212868,34903,297180,353,4661,27213,198189,3952,87615,3385,6715,15737,467,0,0,8,0,189,6071,0,4945,280,482,0.0900371364096732,0.5289663995451234,0.3499244833774587,0.0310719806677446,4.264468096448054e-05,8.884308534266778e-05,0.0620178041543026,0.5280477620426802,0.0006272321825192,0.0082819524156434,0.0483537376286003,0.3521544448195597,0.0070221574654844,0.1556797384459567,0.0060146768776986,0.0119316263615202,0.0279624726807512,0.0008297944171005,0.0,0.0,1.4214893654826844e-05,0.0,0.0003358268625952,0.0107873274223067,0.0,0.0087865811403898,0.0004975212779189,0.0008564473427033
SAMN55951633,"Boston DITP South, MA (SB)",2025-08-06,985790,1201818861,90256,638995,230164,26375,41,125,0.6749611986325688,50830,637942,726,11940,40777,399084,7758,217312,1569,9606,39379,928,0,0,6,0,782,26902,0,21441,2455,1514,0.0915570253299384,0.6482060073646517,0.2334817760374927,0.0267551912679171,4.159100822690431e-05,0.0001268018543503,0.0515627060530133,0.6471378285436046,0.0007364651700666,0.0121121131275423,0.0413647937187433,0.4048367299323385,0.0078698302883981,0.2204445165806104,0.0015916168758051,0.0097444689031132,0.0399466417796893,0.0009413769666967,0.0,0.0,6.086489008815265e-06,0.0,0.0007932724008155,0.027289787885858,0.0,0.0217500684730013,0.0024903884194402,0.001535824059891
SAMN55951635,"Boston DITP South, MA (SB)",2025-08-13,692793,1137933643,76560,215804,382396,18033,120,79,0.3375279484636825,19826,215316,492,7534,14811,121653,2795,79531,1728,6598,56492,409,0,0,122,0,985,36748,2,27522,4223,3057,0.1105091997176645,0.3114985284204661,0.5519628518186529,0.0260294200432163,0.0001732119117831,0.0001140311752572,0.0286174946917766,0.3107941333125479,0.000710168838311,0.0108748211947868,0.0213786802118381,0.1755979058679865,0.0040343941119497,0.1147976379668963,0.0024942515296776,0.0095237682828781,0.0815423943371252,0.0005903639326609,0.0,0.0,0.0001760987769795,0.0,0.0014217811092202,0.0530432611184004,2.8868651963862223e-06,0.0397261519674708,0.0060956158621695,0.0044125734526763
SAMN55951637,"Boston DITP South, MA (SB)",2025-08-20,924858,1153799668,105243,485345,290530,43740,59,376,0.5720716045057728,56507,483853,738,15942,48094,329468,6720,126447,955,11996,48677,1115,0,0,0,1,656,23030,0,18156,2237,1388,0.1137936850846292,0.5247778577900607,0.314134710409598,0.047293746715712,6.37935769599225e-05,0.0004065488972361,0.0610980280215989,0.5231646371659217,0.0007979603355325,0.0172372407439844,0.0520014964459408,0.3562363087090126,0.0072659802910284,0.136720447895785,0.001032590949097,0.0129706398171394,0.0526318634860702,0.0012055904798358,0.0,0.0,0.0,1.0812470671173304e-06,0.0007092980760289,0.0249011199557121,0.0,0.0196311217505822,0.0024187496891414,0.0015007709291588
SAMN55951639,"Boston DITP South, MA (SB)",2025-08-27,891325,1252021845,81555,524071,262654,23045,204,222,0.6138232406810086,42178,523013,429,8321,34073,308731,6540,201085,1136,4876,38813,836,0,0,360,0,699,24979,0,19612,2484,1585,0.0914986116175357,0.5879684739012145,0.2946781477014557,0.0258547667797941,0.0002288727456315,0.0002490673996578,0.047320562084537,0.586781477014557,0.0004813059209603,0.0093355397862732,0.0382273581465795,0.346373096233136,0.0073373909628923,0.2256023336044652,0.0012745070541048,0.0054705073906824,0.0435452837068409,0.0009379294869996,0.0,0.0,0.0004038930805261,0.0,0.000784225731355,0.0280245701623986,0.0,0.0220031974868874,0.0027868622556306,0.0017782514795388
SAMN55951641,"Boston DITP South, MA (SB)",2025-09-03,888540,1361007971,93165,368646,415267,11462,42,4,0.4277894073423819,49558,368557,494,1700,43370,282717,2425,72078,3269,12062,43476,85,0,0,89,0,1104,27640,0,19801,3101,2550,0.1048517793233844,0.41488959416571,0.4673588133342337,0.0128998131766718,4.7268552907016e-05,4.501766943525334e-06,0.0557746415468071,0.4147894298512166,0.0005559682175253,0.0019132509509982,0.0488104080851734,0.3181815112431629,0.0027291962095122,0.0811195894388547,0.003679069034596,0.0135750782182006,0.0489297049091768,9.566254754991334e-05,0.0,0.0,0.0001001643144934,0.0,0.0012424876764129,0.03110720957976,0.0,0.0222848718121862,0.003489994822968,0.0028698764264974
SAMN55951643,"Boston DITP South, MA (SB)",2025-09-10,895638,1196593906,113333,57520,712146,12639,198,9,0.0783341037338746,21091,57476,612,2837,15253,21024,646,18404,4580,15211,92002,35,0,0,42,0,1219,47196,0,35444,5168,4349,0.1265388471681639,0.0642223755579821,0.7951270490979615,0.0141117281758924,0.0002210714596745,1.0048702712479818e-05,0.0235485765454346,0.0641732485669433,0.0006833117844486,0.0031675743994783,0.017030318052606,0.0234737695363528,0.0007212735502513,0.0205484805244976,0.0051136731581286,0.0169834241066145,0.1027223052170631,3.9078288326310405e-05,0.0,0.0,4.689394599157249e-05,0.0,0.0013610409562792,0.0526953970242441,0.0,0.0395740243267927,0.0057701884020106,0.0048557564551749
SAMN55951645,"Boston DITP South, MA (SB)",2025-09-17,1111393,1958366098,107891,82245,909159,12098,114,53,0.0848873172151615,26986,82089,482,3246,21972,34695,1823,37456,2709,6692,80274,103,0,0,517,0,1185,42404,0,31353,5432,3320,0.0970772082285155,0.0740018886915425,0.8180354745563229,0.0108854285236189,0.0001025650483189,4.7689256494679185e-05,0.0242811715423082,0.0738615314304835,0.0004336900802267,0.0029206606473061,0.0197697346805378,0.0312176813986779,0.0016402677010777,0.0337019360848974,0.0024374790804658,0.0060212532996019,0.0722283025227724,9.266800456438426e-05,0.0,0.0,0.0004651691151158,0.0,0.0010662275230386,0.0381538769675994,0.0,0.0282105199735073,0.0048875522820237,0.0029872330267862
SAMN55951647,"Boston DITP South, MA (SB)",2025-09-24,1697290,1084813825,163527,356667,1157070,20026,181,107,0.2219378992652128,47084,355887,721,8198,35127,109816,7457,228983,3779,8890,115909,673,0,0,353,0,1938,53603,1,40897,5988,3085,0.0963459432173862,0.2101390924826963,0.6817161575174009,0.0117988067825165,0.0001066408380502,6.304174113931363e-05,0.0277406899917026,0.2096795372824896,0.0004247938812954,0.0048300549116225,0.0206959302333357,0.0647007906650337,0.0043934739203211,0.1349109325247666,0.0022264919567503,0.0052377591810667,0.068290633213378,0.0003965134590673,0.0,0.0,0.0002079791742552,0.0,0.0011418196934224,0.031581518177241,5.891515981326251e-07,0.0240954704005836,0.0035279730162466,0.0018176035190588
SAMN55951649,"Boston DITP South, MA (SB)",2025-10-01,1736788,1284898815,192679,236049,1273535,34525,274,61,0.1557897994565431,38400,235672,1266,9758,27477,91949,4978,118619,4679,15346,153682,316,0,0,323,0,2189,70323,0,49305,10895,5587,0.1109399925674435,0.1359111616418357,0.7332702079760134,0.0198786378147074,0.0001577638240346,3.512313460043481e-05,0.0221098220935832,0.135694091449324,0.000728938461998,0.005618428144325,0.0158206251632312,0.0529419996214397,0.0028662067722773,0.0682978106286083,0.0026940516960765,0.0088358530549508,0.0884864303186686,0.0001819470579112,0.0,0.0,0.0001859763311569,0.0,0.0012603692324645,0.0404903183181059,0.0,0.0283886702526707,0.006273073233541,0.0032168641587749
SAMN55951651,"Boston DITP South, MA (SB)",2025-10-08,1790698,1021704587,153001,680107,858345,99245,105,332,0.4352224336292899,66165,677969,1786,22428,45707,246968,15155,384589,3517,23984,86698,1806,0,0,33,0,3476,48786,0,31804,7343,4382,0.0854421443127567,0.3797998762929013,0.4793354220579534,0.0554225573363886,5.863369253994902e-05,0.000185398671793,0.0369492662084872,0.378605933669814,0.0009973694327547,0.0125247248424711,0.0255246942561857,0.1379171620169029,0.0084631596281608,0.2147704218136314,0.0019640428913858,0.0133936249968084,0.0484158167305765,0.0010085439512942,0.0,0.0,1.842768115300436e-05,0.0,0.0019411487446754,0.027244185270821,0.0,0.0177607140684193,0.0041006386999285,0.0024470857348742
SAMN55951653,"Boston DITP South, MA (SB)",2025-10-15,568748,1157367618,37171,160336,291056,80185,42,172,0.4228955530393073,18788,159676,761,14773,12437,83795,4453,51707,1137,9401,18334,488,0,0,7,0,371,12968,0,8058,2247,1789,0.0653558342183181,0.2819104418828725,0.5117486127423745,0.1409851111564348,7.384641352584976e-05,0.0003024186458677,0.0330339623172301,0.280749998241752,0.0013380266831707,0.0259745968337471,0.0218673296433569,0.1473323862237757,0.0078294780816811,0.0909137262900265,0.0019991279090212,0.0165292888942027,0.0322357177519745,0.0008580249952527,0.0,0.0,1.2307735587641626e-05,0.0,0.000652309986145,0.0228009593000766,0.0,0.0141679619093166,0.0039507831236329,0.0031455055666129
SAMN55951655,"Boston DITP South, MA (SB)",2025-10-22,789475,1191785399,68050,255484,418243,47698,212,34,0.3840298932835111,22272,255204,713,9120,15136,89922,4621,145154,1802,11008,45527,246,0,0,39,0,905,30014,0,18610,5171,4155,0.0861965230057949,0.3236125273124545,0.5297735837106938,0.0604173659710567,0.0002685328857785,4.306659488900852e-05,0.0282111529814116,0.3232578612368979,0.0009031318281136,0.0115519807466987,0.0191722347129421,0.113901010164983,0.0058532569112384,0.1838614268976218,0.0022825295291174,0.0139434434275942,0.0576674372209379,0.0003115994806675,0.0,0.0,4.9399917666803887e-05,0.0,0.0011463314227809,0.03801766997055,0.0,0.0235726273789543,0.0065499224167959,0.0052629912283479
SAMN55951657,"Boston DITP South, MA (SB)",2025-10-29,933965,1410002947,63036,547872,253541,69516,44,510,0.6610397605906003,40313,545977,1278,19138,31751,364002,5279,132918,2005,29919,22664,1385,0,0,15,0,458,15145,0,10259,2102,1793,0.067492893202636,0.5866087058936899,0.2714673462067636,0.0744310546969104,4.711097310927069e-05,0.0005460590064938,0.0431632877035006,0.5845797219381883,0.0013683596280374,0.0204911318946641,0.0339959206180103,0.3897383734936534,0.0056522460691781,0.1423158255395009,0.0021467613882747,0.0320343910103697,0.0242664339670116,0.0014829249490077,0.0,0.0,1.60605590145241e-05,0.0,0.0004903824019101,0.0162158110849978,0.0,0.0109843516620001,0.0022506196699019,0.0019197721542027
SAMN55951659,"Boston DITP South, MA (SB)",2025-11-05,914561,997279665,24135,843983,36720,9723,7,37,0.9334598785646884,22826,843818,117,1438,21272,800531,1147,40802,290,1047,1278,128,0,0,24,0,64,970,0,604,130,125,0.0263897104731122,0.9228285483417727,0.0401504109621993,0.0106313302229156,7.65394544486371e-06,4.04565687799939e-05,0.0249584226749227,0.9226481339134296,0.000127930231007,0.0015723390785305,0.0232592467861629,0.8753172287031702,0.0012541536321798,0.0446137545773327,0.0003170920255729,0.001144811554396,0.0013973917540765,0.0001399578595632,0.0,0.0,2.624209866810415e-05,0.0,6.997892978161106e-05,0.0010606181545025,0.0,0.0006604261498139,0.0001421447011188,0.0001366775972297
SAMN55951662,"Boston DITP South, MA (SB)",2025-11-12,898951,1262608181,59194,493017,290334,56406,31,203,0.6111823670033183,31561,492359,649,13774,23334,199850,6572,268130,1006,10605,27600,454,0,0,2,1,662,19730,0,12845,2791,2720,0.0658478604506808,0.5484358991758171,0.3229697725460008,0.0627464678275011,3.448463820608687e-05,0.0002258187598656,0.0351086989168486,0.5477039349197008,0.0007219525869596,0.0153223034403432,0.0259569209000268,0.2223146756608535,0.0073107432996904,0.2982698723289701,0.0011190821301717,0.0117970834895339,0.0307024520802579,0.0005050330885665,0.0,0.0,2.224815368134637e-06,1.1124076840673184e-06,0.0007364138868525,0.0219478036066481,0.0,0.0142888767018447,0.0031047298462318,0.0030257489006631
SAMN55951664,"Boston DITP South, MA (SB)",2025-11-19,838232,1125468622,43267,721444,56559,16962,8,151,0.8809088653260673,39546,720748,433,4654,34329,588276,4336,123797,448,4021,3709,545,0,0,4,0,83,2171,0,1675,170,169,0.0516169747754798,0.8606734173832543,0.0674741598984529,0.0202354479428129,9.543897154964258e-06,0.0001801410587999,0.047177869611277,0.8598430983307724,0.0005165634335124,0.0055521621699004,0.040954055679096,0.7018057053417193,0.0051727922579906,0.1476882295116388,0.0005344582406779,0.0047970013075139,0.0044247893184703,0.0006501779936819,0.0,0.0,4.771948577482129e-06,0.0,9.901793298275418e-05,0.0025899750904284,0.0,0.0019982534668206,0.0002028078145429,0.0002016148273986
SAMN55951666,"Boston DITP South, MA (SB)",2025-11-26,964005,1379389525,47675,856843,36986,22501,3,410,0.9121778414012376,46580,855409,305,4964,43708,784721,2265,62588,302,3136,1086,1024,0,0,6,0,30,610,0,497,33,32,0.0494551376808211,0.8888366761583186,0.0383670209179412,0.0233411652429188,3.112017053853455e-06,0.0004253089973599,0.0483192514561646,0.8873491320065767,0.0003163884004751,0.0051493508851095,0.0453400137966089,0.8140217115056457,0.0023495728756593,0.0649249744555266,0.0003132763834212,0.0032530951602948,0.0011265501734949,0.0010622351543819,0.0,0.0,6.22403410770691e-06,0.0,3.1120170538534554e-05,0.0006327768009502,0.0,0.0005155574919217,3.423218759238801e-05,3.3194848574436854e-05
SAMN55951668,"Boston DITP South, MA (SB)",2025-12-03,720930,1293433484,52129,367830,234503,66468,38,139,0.602413549165661,28529,367371,855,10870,20506,194172,6049,155316,1119,7013,23549,320,0,0,13,0,561,15624,0,12855,671,1055,0.0723079910670938,0.51021597103741,0.325278459767245,0.092197578128251,5.2709694422482075e-05,0.0001928065138085,0.0395724966362892,0.5095792934126753,0.0011859681245058,0.0150777467992731,0.0284438156270372,0.2693354417211102,0.0083905510937261,0.2154383920769006,0.0015521617910199,0.0097277128153912,0.0326647524725008,0.0004438711109261,0.0,0.0,1.8032263881375446e-05,0.0,0.0007781615413424,0.0216720069909699,0.0,0.017831134784237,0.0009307422357233,0.0014633875688346
SAMN55951670,"Boston DITP South, MA (SB)",2025-12-10,941784,1865159228,29300,878749,23904,9831,11,88,0.9435072160920126,29039,878486,78,930,27959,851027,849,25647,153,882,239,174,0,0,11,1,11,157,0,125,4,7,0.031111167741223,0.9330685167724234,0.0253816161667643,0.0104386993195892,1.1679960585442096e-05,9.343968468353678e-05,0.0308340341309684,0.9327892595329714,8.282153869677123e-05,0.0009874875767691,0.0296872743643977,0.903632892467912,0.0009014805942763,0.0272323590122575,0.0001624576335975,0.0009365204760327,0.0002537736890836,0.0001847557401697,0.0,0.0,1.1679960585442096e-05,1.0618145986765542e-06,1.1679960585442096e-05,0.0001667048919922,0.0,0.0001327268248345,4.247258394706217e-06,7.43270219073588e-06
SAMN55951672,"Boston DITP South, MA (SB)",2025-12-17,835751,1863089429,63769,427837,272986,71159,46,241,0.5970630008220151,37055,426636,1192,22177,30601,273575,3661,117807,1601,13077,26663,960,0,0,5,0,591,13151,0,10971,378,736,0.0763014342788701,0.5119192199590548,0.3266355648991146,0.0851437808629603,5.50403170322261e-05,0.0002883634001036,0.0443373684267204,0.5104821890730612,0.0014262621283133,0.0265354154526886,0.0366149726413728,0.3273403202628534,0.0043804913185865,0.1409594484481622,0.0019156423384476,0.0156470049093569,0.0319030428919618,0.0011486674858899,0.0,0.0,5.982643155676751e-06,0.0,0.0007071484210009,0.0157355480280609,0.0,0.0131271156121859,0.0004522878225691,0.0008806450725156
SAMN55951674,"Boston DITP South, MA (SB)",2025-12-23,942571,1274515804,62051,674005,77739,128776,16,30,0.8516928698209472,61653,673734,269,10258,60068,651567,953,4620,363,7289,369,235,0,0,13,6,17,204,0,162,5,6,0.0658316455736491,0.7150708010324952,0.0824754846054037,0.136622068788452,1.6974848579046034e-05,3.182784108571132e-05,0.0654093962152453,0.7147832895346876,0.0002853896417352,0.0108829997952408,0.0637278252778835,0.6912656977564555,0.0010110644184894,0.0049014875271995,0.0003851168771371,0.0077331044557916,0.0003914824453542,0.0002493180885047,0.0,0.0,1.3792064470474904e-05,6.365568217142263e-06,1.8035776615236413e-05,0.0002164293193828,0.0,0.0001718703418628,5.304640180951886e-06,6.365568217142263e-06
SAMN55951676,"Boston DITP South, MA (SB)",2025-12-30,907528,1091719096,56394,113984,522784,214366,36,60,0.3618070186264225,26941,113698,872,18646,18642,70730,4413,12275,3014,12047,29411,226,0,0,6,0,708,20181,0,17546,390,798,0.0621402314859706,0.1255983286466092,0.5760527498876068,0.2362086899798132,3.966819756525418e-05,6.611366260875697e-05,0.0296861364057086,0.1252831868548408,0.0009608518965806,0.020545922550048,0.0205415149725407,0.0779369892719563,0.004862659884874,0.0135257534753748,0.0033211096517132,0.0132745215574615,0.0324078155164358,0.0002490281291596,0.0,0.0,6.611366260875697e-06,0.0,0.0007801412187833,0.0222373304184554,0.0,0.0193338387355541,0.0004297388069569,0.0008793117126964
SAMN54705862,"Southern California, CA",2025-04-16,7978707,613637958,92139,7776614,107152,2802,24,47,0.9750221110296344,83008,7776382,70,594,82543,7775060,155,448,240,280,9107,185,0,0,0,0,533,4944,0,3734,12,216,0.011548161550184,0.9746709259498418,0.0134297274201814,0.0003511850797927,3.0078036696446568e-06,5.890293857179131e-06,0.0104037425448067,0.9746418488429784,8.773215443837807e-06,7.444932050548774e-05,0.0103454632172167,0.9744761566630992,1.9426660861465174e-05,5.61493555225781e-05,3.007945128474335e-05,3.509350385103042e-05,0.0011414112017076,2.318681300611052e-05,0.0,0.0,0.0,0.0,6.680381334234226e-05,0.0006196497215518,0.0,0.0004679940428478,1.5040071382302163e-06,2.707259356119375e-05
SAMN54705863,"Southern California, CA",2025-04-20,7964917,585933530,228493,7397619,331200,7605,82,115,0.9297301973702696,211665,7397473,167,658,210643,7395961,289,543,566,311,16746,31,0,0,0,0,810,9463,0,7326,35,446,0.0286874644557597,0.9287753834039658,0.0415823381739704,0.0009548139663038,1.0295212336588849e-05,1.4438486030208982e-05,0.026574697060089,0.9287570525634606,2.0966997917955774e-05,8.261275405100108e-05,0.0264463852196822,0.9285672206344328,3.628380952896051e-05,6.81727760070402e-05,7.106103295987032e-05,3.9046398969611273e-05,0.0021024721833341,3.892354475034788e-06,0.0,0.0,0.0,0.0,0.0001016984318049,0.001188086047611,0.0,0.0009197818511986,4.394316815531269e-06,5.599499958397364e-05
SAMN54705864,"Southern California, CA",2025-04-23,7984312,638743246,110425,7772284,99124,2479,14,65,0.9737548759393924,102300,7772113,38,676,102067,7771081,69,255,126,101,8111,106,0,0,0,0,245,3369,0,2625,5,233,0.0138302709269785,0.9734443886162548,0.0124148531336292,0.0003104873231374,1.753389218689983e-06,8.140859254190747e-06,0.0128126506188436,0.9734229718071166,4.759179042268603e-06,8.466687016533918e-05,0.0127834684389493,0.9732937171316188,8.641811045579821e-06,3.193805897619904e-05,1.5781189806442272e-05,1.264974635601831e-05,0.0010158669189162,1.3275949884063544e-05,0.0,0.0,0.0,0.0,3.06850277163726e-05,0.0004219521649124,0.0,0.0003287690476238,6.263066084954127e-07,2.918248349899817e-05
SAMN54705865,"Southern California, CA",2025-04-27,7959961,492223326,363300,7083066,501296,12299,138,98,0.8913818865841829,320004,7082328,379,1402,318196,7078267,567,1540,862,1119,43157,640,0,0,1,0,1497,21968,0,17277,79,1582,0.0456409509760615,0.8898367706141734,0.0629771624397554,0.0015451159700095,1.7336957870807288e-05,1.2311497663676216e-05,0.0402017315692186,0.8897440561631642,4.761334146449911e-05,0.0001761311045434,0.0399745942872934,0.8892338789254054,7.123178820038537e-05,0.000193467546679,0.0001082921522603,0.0001405785865362,0.0054217568347184,8.040295334551644e-05,0.0,0.0,1.2561425370059593e-07,0.0,0.0001880657575476,0.0027598091764793,0.0,0.002170485615059,9.92488220740238e-06,0.0001987440074646
SAMN54705866,"Southern California, CA",2025-04-30,7978198,752034147,105989,7684979,183092,4138,36,55,0.9637661377525072,86062,7684664,127,1198,85500,7682658,133,478,302,330,19891,260,0,0,0,0,694,10724,0,8447,27,804,0.0132848743526461,0.9632474626784264,0.0229489878948466,0.0005186750740808,4.512033778003486e-06,6.893428994929999e-06,0.0107872039414233,0.9632079813015312,1.5918589409080908e-05,0.000150154055019,0.0107167594841126,0.962956549686542,1.6671679554881293e-05,5.991484780138374e-05,3.785418834677656e-05,4.136271216855373e-05,0.0024931583774448,3.258794790042875e-05,0.0,0.0,0.0,0.0,8.698495924738276e-05,0.0013441556834287,0.0,0.0010587548294995,3.3843249000664024e-06,0.0001007738255179
SAMN54705867,"Southern California, CA",2025-05-04,7977672,751852729,441282,6223541,1290046,22803,260,95,0.7829784662107182,338552,6222805,790,2656,334583,6215271,1242,2640,1937,2238,102469,641,0,0,1,0,3599,60704,0,47215,254,5882,0.0553146582845378,0.780120110475823,0.161706875504744,0.0028583557348951,3.25929225875088e-05,1.1907725499691044e-05,0.0424374601411673,0.7800278556588046,9.902846599560984e-05,0.000332927946623,0.0419399365678371,0.7790834745353972,0.0001556858600993,0.0003309240439159,0.0002428092472352,0.0002805291328684,0.0128444797609727,8.03470915186975e-05,0.0,0.0,1.2545981020439912e-07,0.0,0.0004511350486994,0.0076092216544289,0.0,0.0059183778100411,3.183674304269451e-05,0.0007373123175255
SAMN54705868,"Southern California, CA",2025-05-07,7981568,925166063,253323,6806733,911295,10217,240,92,0.8540866252481469,171619,6805486,614,1743,168653,6799727,730,2657,1622,1359,81464,1155,0,0,0,0,2989,43129,0,32429,211,4743,0.0317384880915585,0.8528065530757848,0.1141748866602944,0.0012800721723621,3.0069434858802565e-05,1.1526160875819466e-05,0.0215019228623764,0.8526503178448988,7.692690643356945e-05,0.0002183812738033,0.0211303148762202,0.8519287791411314,9.146200175991495e-05,0.0003328923707724,0.0002032190779627,0.0001702650591916,0.0102064957943232,0.0001447090700101,0.0,0.0,0.0,0.0,0.0003744900323738,0.0054035597836177,0.0,0.0040629675689482,2.643542398612439e-05,0.000594248066177
SAMN54705869,"Southern California, CA",2025-05-11,7973030,1018038450,624605,3971030,3345753,31642,743,108,0.5020266296307523,409834,3969211,2016,5325,400638,3956082,2316,3772,4864,4032,214028,1711,0,0,0,0,6882,122848,0,94432,635,13589,0.0783396678354733,0.4980579996187279,0.4196337025337743,0.0039686300120244,9.31865440317752e-05,1.354547297885962e-05,0.0514025310237467,0.4978298555568283,0.0002528509225396,0.0006678689585492,0.0502491423430108,0.4961831824441715,0.0002904767227749,0.0004731019861323,0.0006100610354213,0.0005057021679752,0.0268439502676948,0.0002145985889207,0.0,0.0,0.0,0.0,0.0008631561351026,0.0154079090953424,0.0,0.011843895869622,7.964283926521262e-05,0.0017043699926411
