sra_accession,site_name,date,n_reads_profiled,total_read_pairs,n_reads_classified_1_clade_non_rrna,n_reads_classified_1_clade_rrna,n_reads_unclassified_0_clade_non_rrna,n_reads_unclassified_0_clade_rrna,n_reads_root_direct_1_non_rrna,n_reads_root_direct_1_rrna,rrna_fraction,n_reads_cellular_organisms_131567_clade_non_rrna,n_reads_cellular_organisms_131567_clade_rrna,n_reads_cellular_organisms_131567_direct_non_rrna,n_reads_cellular_organisms_131567_direct_rrna,n_reads_bacteria_2_clade_non_rrna,n_reads_bacteria_2_clade_rrna,n_reads_archaea_2157_clade_non_rrna,n_reads_archaea_2157_clade_rrna,n_reads_eukaryota_2759_clade_non_rrna,n_reads_eukaryota_2759_clade_rrna,n_reads_viruses_10239_clade_non_rrna,n_reads_viruses_10239_clade_rrna,n_reads_unclassified_entries_2787823_clade_non_rrna,n_reads_unclassified_entries_2787823_clade_rrna,n_reads_other_entries_2787854_clade_non_rrna,n_reads_other_entries_2787854_clade_rrna,n_reads_pmmov_12239_clade_non_rrna,n_reads_tobamovirus_12234_clade_non_rrna,n_reads_tbrv_12275_clade_non_rrna,n_reads_tobrfv_3432872_clade_non_rrna,n_reads_tmv_3432892_clade_non_rrna,n_reads_cgmmv_3432895_clade_non_rrna,fraction_classified_1_clade_non_rrna,fraction_classified_1_clade_rrna,fraction_unclassified_0_clade_non_rrna,fraction_unclassified_0_clade_rrna,fraction_root_direct_1_non_rrna,fraction_root_direct_1_rrna,fraction_cellular_organisms_131567_clade_non_rrna,fraction_cellular_organisms_131567_clade_rrna,fraction_cellular_organisms_131567_direct_non_rrna,fraction_cellular_organisms_131567_direct_rrna,fraction_bacteria_2_clade_non_rrna,fraction_bacteria_2_clade_rrna,fraction_archaea_2157_clade_non_rrna,fraction_archaea_2157_clade_rrna,fraction_eukaryota_2759_clade_non_rrna,fraction_eukaryota_2759_clade_rrna,fraction_viruses_10239_clade_non_rrna,fraction_viruses_10239_clade_rrna,fraction_unclassified_entries_2787823_clade_non_rrna,fraction_unclassified_entries_2787823_clade_rrna,fraction_other_entries_2787854_clade_non_rrna,fraction_other_entries_2787854_clade_rrna,fraction_pmmov_12239_clade_non_rrna,fraction_tobamovirus_12234_clade_non_rrna,fraction_tbrv_12275_clade_non_rrna,fraction_tobrfv_3432872_clade_non_rrna,fraction_tmv_3432892_clade_non_rrna,fraction_cgmmv_3432895_clade_non_rrna
SAMN52958985,"Columbia WWTP, MO",2024-03-05,7911493,1342877563,926432,4644945,2257643,82473,442,285,0.5975380373843471,770586,4643530,1887,18528,757588,4587122,2126,8117,8985,29763,155404,1130,0,0,0,0,3237,37139,0,30328,216,751,0.1170995158562359,0.5871135827333728,0.2853624467594169,0.0104244546509742,5.586808962606679e-05,3.6023541953459354e-05,0.0974008319289418,0.5869347290075337,0.0002385137672497,0.0023419094221533,0.0957579056190784,0.5798048484653908,0.0002687229831335,0.001025975754513,0.0011356895594801,0.0037619953654765,0.019642815837668,0.0001428301838856,0.0,0.0,0.0,0.0,0.0004091515975556,0.0046943099109106,0.0,0.0038334104574193,2.7302052848937615e-05,9.492519300718588e-05
SAMN52958986,"Columbia WWTP, MO",2024-03-12,7892729,1355105392,588294,5583608,1657298,63529,411,196,0.7154859871661626,465030,5582462,2828,16414,450735,5538904,2219,4410,9248,22734,122853,950,0,0,0,0,2802,36441,0,30611,224,582,0.0745361965424126,0.7074369334104845,0.2099778162914246,0.0080490537556781,5.207324361447099e-05,2.4832982356292735e-05,0.0589187846180959,0.7072917364830339,0.0003583044597122,0.0020796355734499,0.057107623991651,0.7017729862510166,0.0002811448359623,0.0005587421030165,0.0011717113307703,0.0028803725555508,0.0155653386807022,0.0001203639450942,0.0,0.0,0.0,0.0,0.0003550102885833,0.0046170342349268,0.0,0.0038783797087167,2.838055126433455e-05,7.373875373144067e-05
SAMN52958987,"Columbia WWTP, MO",2024-03-19,7926639,1388744532,294467,6438629,1161326,32217,272,139,0.8163417054819829,222001,6437868,1027,11480,214758,6392439,1306,10317,4910,23632,72194,622,0,0,0,0,1568,20691,0,17858,91,185,0.0371490363065607,0.8122773094624341,0.1465092582114563,0.0040643960195487,3.431466981150523e-05,1.7535805528673628e-05,0.0280069522530293,0.8121813040810866,0.0001295631099132,0.0014482809170444,0.0270931980124236,0.8064501234381937,0.0001647608778449,0.0013015604722253,0.0006194302528473,0.0029813392536231,0.0091077693837198,7.846957581895682e-05,0.0,0.0,0.0,0.0,0.0001978139789133,0.0026103118862862,0.0,0.0022529094613744,1.1480275561937413e-05,2.3339021746795836e-05
SAMN52958988,"Columbia WWTP, MO",2024-03-26,3976360,1409519087,411321,2015422,1431995,117622,142,119,0.5364311976069633,340358,2014780,743,12480,335036,1979907,1320,13343,3259,9050,70821,523,0,0,0,0,1902,18598,0,14748,72,529,0.1034415948907911,0.5068508849197917,0.3601272075022454,0.0295803126871716,3.571016495430815e-05,2.993045926819749e-05,0.0855953517368736,0.5066894265830761,0.0001868491192994,0.0031385576215326,0.0842569442219209,0.4979193549187086,0.0003319666247871,0.0033555909504944,0.0008195917708659,0.0022759230923403,0.0178105329889632,0.0001315278774473,0.0,0.0,0.0,0.0,0.0004783288607978,0.0046771509008756,0.0,0.0037089288690977,1.8106679499384916e-05,0.0001330412300663
SAMN52958989,"Columbia WWTP, MO",2024-04-02,3974355,1347722082,392356,2345812,1098777,137410,118,71,0.6248112490437154,337451,2345469,808,11718,332367,2316702,1886,11365,2390,5684,54787,272,0,0,0,0,1237,18660,0,15730,82,840,0.0987219406703791,0.5902371144017651,0.2764668102859055,0.0345741346419503,2.9689046692498483e-05,1.7865147421902244e-05,0.084907142257734,0.5901508123003135,0.0002033057025414,0.0029484008712391,0.0836279390171573,0.5829126666612563,0.0004745404966477,0.0028595847589532,0.0006013570413875,0.0014301600088648,0.0137851093659525,6.843695402961535e-05,0.0,0.0,0.0,0.0,0.0003112460869566,0.0046950986678289,0.0,0.0039578678914083,2.0632719943942565e-05,0.0002113576995843
SAMN52958990,"Columbia WWTP, MO",2024-04-09,3968154,1423290914,269473,2998003,639198,61480,153,77,0.77100916274727,230347,2997094,631,9180,226561,2980355,904,2542,2251,5017,38973,832,0,0,0,0,1098,18461,0,16043,159,400,0.0679089160195397,0.7555157891424747,0.1610819212331901,0.0154933736047953,3.855709374455354e-05,1.9403873788511605e-05,0.0580489304310176,0.7552867188872007,0.0001590173986632,0.0023134294128803,0.0570948333093665,0.7510683772924809,0.000227812755742,0.0006405974037491,0.0005672669672458,0.0012643147780904,0.0098214284947776,0.0002096663814854,0.0,0.0,0.0,0.0,0.0002767051128511,0.0046522758451337,0.0,0.0040429259681285,4.006767922002642e-05,0.0001008000050617
SAMN52958991,"Columbia WWTP, MO",2024-04-16,3965796,1253715123,293043,3074628,575497,22628,156,99,0.7809921983876347,249979,3074149,1002,4938,244174,3054624,1207,10563,3596,4024,42908,380,0,0,0,0,1593,20787,0,17375,186,408,0.0738926029468339,0.7752864116738332,0.1451151986655313,0.0057057867138015,3.9335871264057945e-05,2.496254420358993e-05,0.0630337464087956,0.7751656293892695,0.0002526579962983,0.0012451459065235,0.0615699821920656,0.7702422752345298,0.0003043538940667,0.0026635278555457,0.0009067523263649,0.0010146803926703,0.0108195206667742,9.581974036010474e-05,0.0,0.0,0.0,0.0,0.0004016810574001,0.0052415751053528,0.0,0.0043812213919414,4.690188554445782e-05,0.0001028786117381
SAMN52958992,"Columbia WWTP, MO",2024-04-23,7878874,1306149209,664103,3050318,4034540,129913,234,316,0.4036449432327029,522403,3049854,1607,15381,490719,3016280,1966,11691,28111,6502,141466,146,0,0,0,2,7228,95256,0,80246,805,2530,0.0842888529320352,0.387155916860906,0.5120662038352617,0.0164890263717969,2.969772817976289e-05,4.010876436315725e-05,0.0663042484148624,0.3870970250377961,0.0002039590830346,0.0019521851939778,0.062282931549064,0.3828357633745105,0.0002495236906036,0.0014838422447334,0.0035678340921601,0.000825234224574,0.0179549067889931,1.8528960136207427e-05,0.0,0.0,0.0,2.540986105887973e-07,0.0009173898296864,0.0120899413359995,0.0,0.010184871976994,0.0001021672391465,0.0003210978296467
SAMN52958993,"Columbia WWTP, MO",2024-04-30,7877914,1075420983,562448,4417957,2649210,248299,345,303,0.5923229206716044,427753,4417461,9307,40585,386407,4329941,3362,23669,28677,23266,134348,190,0,0,2,3,5317,96933,0,77148,1655,3509,0.0713954638954587,0.5608043798957103,0.3362816154329369,0.031518540775894,4.3792172648418806e-05,3.84611704591844e-05,0.0542977864775906,0.5607414198467984,0.0011813813284964,0.0051517725707356,0.0490494754721991,0.549631852766486,0.0004267634419455,0.0030044694127178,0.0036401662349494,0.002953325096859,0.0170536312790896,2.4118017499180112e-05,0.0,0.0,2.5396613009942905e-07,3.808609535593314e-07,0.0006749205359869,0.0123043109451607,0.0,0.0097928684446931,0.0002100841461176,0.0004454178298486
SAMN52958994,"Columbia WWTP, MO",2024-05-07,7897738,1173578461,657408,3461386,3649267,129677,207,169,0.4546969235213638,539702,3460954,2507,16705,476768,3419567,2086,16730,58341,7952,117497,263,0,0,2,0,4251,93873,1,79457,1681,5026,0.0832398606943086,0.4382773144608474,0.4620632157843274,0.0164196090605164,2.6210395619753006e-05,2.139892426896841e-05,0.0683361534988518,0.4382226149793745,0.0003174295247978,0.0021151757223488,0.0603676233394802,0.4329822274527574,0.000264125044357,0.0021183449187104,0.0073869755902167,0.0010068668855576,0.0148772435801405,3.330055720398046e-05,0.0,0.0,2.5321969656820394e-07,0.0,0.0005382517514481,0.011886003482947,1.2651898695741068e-07,0.0100606783728541,0.0002128399314863,0.0006363801886719
