sra_accession,site_name,date,total_read_pairs,total_virus_hits,dedup_virus_hits,dup_virus_hits,dup_rate,ra,ra_dedup,below_species_counts,species_counts,genus_counts,family_counts,order_counts,class_counts,phylum_counts,kingdom_counts,domain_counts,realm_counts,unresolved_counts
SAMN55951718,"Boston DITP South, MA (MU)",2025-10-22,1172360643,68128,33572.0,34556.0,0.5072217003287929,5.811181090629635e-05,2.8636239369219424e-05,57165,9936,924,95,0,0,0,0,0,0,8
SAMN55951719,"Boston DITP South, MA (MU)",2025-10-29,1020642066,33668,21486.0,12182.0,0.3618272543661637,3.298707854747582e-05,2.1051454487081666e-05,28989,4419,213,42,0,0,0,0,0,0,5
SAMN55951720,"Boston DITP South, MA (MU)",2025-11-05,1618081949,120425,58420.0,62005.0,0.5148847830599959,7.442453707268939e-05,3.61044754476771e-05,103186,16273,736,208,0,0,0,0,0,0,22
SAMN55951721,"Boston DITP South, MA (MU)",2025-11-12,1147365574,130823,66808.0,64015.0,0.4893252715501097,0.0001140203287988,5.822730044713717e-05,116917,12620,1157,111,0,0,0,0,0,0,18
SAMN55951722,"Boston DITP South, MA (MU)",2025-11-19,979824755,69475,35293.0,34182.0,0.492004318100036,7.090553657220061e-05,3.601970640147788e-05,60278,8169,893,134,0,0,0,0,0,0,1
SAMN55951723,"Boston DITP South, MA (MU)",2025-11-26,648686631,79922,33520.0,46402.0,0.5805910762993919,0.000123205868875,5.167364085849335e-05,71781,7531,524,86,0,0,0,0,0,0,0
SAMN55951724,"Boston DITP South, MA (MU)",2025-12-03,706838841,163511,75824.0,87687.0,0.536275846884919,0.0002313271293477,0.0001072719771493,150542,11204,1608,145,0,0,0,1,0,0,11
SAMN55951725,"Boston DITP South, MA (MU)",2025-12-10,862444780,164208,78964.0,85244.0,0.5191220890577803,0.0001903982768612,9.15583256240475e-05,151657,11159,1283,97,0,0,3,0,0,0,9
SAMN55951726,"Boston DITP South, MA (MU)",2025-12-17,958378998,208243,100445.0,107798.0,0.5176548551451909,0.0002172866897485,0.0001048071798418,193392,12122,2593,112,0,0,0,0,0,0,24
SAMN55951727,"Boston DITP South, MA (MU)",2025-12-23,1082666842,111547,53517.0,58030.0,0.520229141079545,0.0001030298478467,4.943071859588732e-05,101803,8831,824,76,0,0,0,0,0,0,13
SAMN55951728,"Boston DITP South, MA (MU)",2025-12-30,871162363,293874,101049.0,192825.0,0.6561485534616877,0.0003373355099823,0.0001159933030761,274494,16669,2557,134,0,0,3,0,0,0,17
SAMN47830601,"Boston DITP South, MA (SB)",2025-02-12,919521514,187745,,,,0.0002041768432184,,170832,15774,985,144,0,0,0,0,0,0,10
SAMN47830604,"Boston DITP South, MA (SB)",2025-02-19,793764099,286081,,,,0.0003604106060735,,266168,18161,1663,79,0,0,0,0,0,0,10
SAMN47830606,"Boston DITP South, MA (SB)",2025-02-26,820991304,227764,,,,0.0002774255937794,,214779,12532,401,39,12,0,0,0,0,0,1
SAMN55951745,"Boston DITP South, MA (SB)",2025-03-19,2260695983,80000,,,,3.538733230898124e-05,,78943,975,80,2,0,0,0,0,0,0,0
SAMN55951748,"Boston DITP South, MA (SB)",2025-03-26,2311855515,812036,,,,0.0003512485943569,,786067,24595,1258,116,0,0,0,0,0,0,0
SAMN55951752,"Boston DITP South, MA (SB)",2025-04-02,3053113328,244236,,,,7.999572035538931e-05,,240097,3954,171,14,0,0,0,0,0,0,0
SAMN55951756,"Boston DITP South, MA (SB)",2025-04-09,1936679309,53125,,,,2.74309741179767e-05,,52712,392,20,1,0,0,0,0,0,0,0
SAMN55951602,"Boston DITP South, MA (SB)",2025-04-23,2868575636,658050,,,,0.0002293995639304,,649360,8299,338,44,0,0,0,0,0,0,9
SAMN55951605,"Boston DITP South, MA (SB)",2025-04-30,926898618,35442,,,,3.823719154579643e-05,,35214,210,16,2,0,0,0,0,0,0,0
SAMN55951607,"Boston DITP South, MA (SB)",2025-05-07,1273053672,1079824,,,,0.0008482156123893,,1052408,25839,1528,39,0,0,0,0,0,0,10
SAMN55951609,"Boston DITP South, MA (SB)",2025-05-14,850422706,609,,,,7.161144636700235e-07,,577,31,1,0,0,0,0,0,0,0,0
SAMN55951611,"Boston DITP South, MA (SB)",2025-05-21,951805553,1124,,,,1.180913471724618e-06,,1089,32,2,1,0,0,0,0,0,0,0
SAMN55951613,"Boston DITP South, MA (SB)",2025-05-28,1207826526,626,,,,5.182863486805057e-07,,596,30,0,0,0,0,0,0,0,0,0
SAMN55951615,"Boston DITP South, MA (SB)",2025-06-04,1393509216,7109,,,,5.10150913849428e-06,,6878,217,14,0,0,0,0,0,0,0,0
SAMN55951617,"Boston DITP South, MA (SB)",2025-06-11,1470589525,7702,,,,5.237355406839308e-06,,7324,367,8,3,0,0,0,0,0,0,0
SAMN55951619,"Boston DITP South, MA (SB)",2025-06-18,1358092420,4891,,,,3.6013749344098393e-06,,4610,270,9,0,0,0,0,0,0,0,2
SAMN55951621,"Boston DITP South, MA (SB)",2025-06-25,1336917341,3016,,,,2.2559360309771015e-06,,2864,140,12,0,0,0,0,0,0,0,0
SAMN55951623,"Boston DITP South, MA (SB)",2025-07-02,1187294516,5684,,,,4.787354715618007e-06,,5171,502,8,3,0,0,0,0,0,0,0
SAMN55951625,"Boston DITP South, MA (SB)",2025-07-09,1226108604,161704,59258.0,102446.0,0.6335402958492059,0.000131883912626,4.83301396031962e-05,145176,16198,230,99,0,0,0,0,0,0,1
SAMN55951627,"Boston DITP South, MA (SB)",2025-07-16,2087620769,414941,97172.0,317769.0,0.765817308966817,0.0001987626326398,4.6546768188432405e-05,358930,54094,1828,67,0,0,0,0,0,0,22
SAMN55951629,"Boston DITP South, MA (SB)",2025-07-23,1020456499,41989,,,,4.114727089410207e-05,,37496,4410,79,4,0,0,0,0,0,0,0
SAMN55951631,"Boston DITP South, MA (SB)",2025-07-30,1700866657,25087,,,,1.4749539534303425e-05,,18689,6306,86,4,0,0,0,0,0,0,2
SAMN55951633,"Boston DITP South, MA (SB)",2025-08-06,1201818861,46386,,,,3.859649861161565e-05,,32780,13447,121,37,0,0,0,0,0,0,1
SAMN55951635,"Boston DITP South, MA (SB)",2025-08-13,1137933643,85827,,,,7.542355437679946e-05,,67002,18648,143,34,0,0,0,0,0,0,0
SAMN55951637,"Boston DITP South, MA (SB)",2025-08-20,1153799668,56583,,,,4.904057573363767e-05,,37039,19371,126,47,0,0,0,0,0,0,0
SAMN55951639,"Boston DITP South, MA (SB)",2025-08-27,1252021845,66284,,,,5.2941568283898434e-05,,41706,24257,287,31,0,0,0,0,0,0,3
SAMN55951641,"Boston DITP South, MA (SB)",2025-09-03,1361007971,101726,,,,7.474313315392037e-05,,74868,26288,510,58,0,0,0,0,0,0,2
SAMN55951643,"Boston DITP South, MA (SB)",2025-09-10,1196593906,148500,10240.0,138260.0,0.931043771043771,0.0001241022532835,8.557623391406441e-06,89394,58017,957,132,0,0,0,0,0,0,0
SAMN55951645,"Boston DITP South, MA (SB)",2025-09-17,1958366098,90993,,,,4.646373325851968e-05,,55307,34388,1041,252,0,0,0,0,0,0,5
SAMN55951647,"Boston DITP South, MA (SB)",2025-09-24,1084813825,76581,,,,7.059367998006479e-05,,42811,32682,662,409,0,0,0,0,0,0,17
SAMN55951649,"Boston DITP South, MA (SB)",2025-10-01,1284898815,94000,14701.0,79299.0,0.8436063829787234,7.315751162864915e-05,1.1441367855880542e-05,61058,32315,459,154,0,0,0,0,0,0,14
SAMN55951651,"Boston DITP South, MA (SB)",2025-10-08,1021704587,49856,9548.0,40308.0,0.8084884467265725,4.879688379044147e-05,9.34516700961038e-06,31306,18266,176,108,0,0,0,0,0,0,0
SAMN55951653,"Boston DITP South, MA (SB)",2025-10-15,1157367618,36602,15117.0,21485.0,0.5869897819791269,3.1625215213166606e-05,1.3061537030146976e-05,27102,9328,103,69,0,0,0,0,0,0,0
SAMN55951655,"Boston DITP South, MA (SB)",2025-10-22,1191785399,156058,49252.0,106806.0,0.6843993899703956,0.0001309447154923,4.1326232089540813e-05,128169,26655,1055,160,0,0,0,0,0,0,19
SAMN55951657,"Boston DITP South, MA (SB)",2025-10-29,1410002947,71525,25830.0,45695.0,0.6388675288360713,5.072684433190763e-05,1.831911064792973e-05,57828,13580,55,62,0,0,0,0,0,0,0
SAMN55951659,"Boston DITP South, MA (SB)",2025-11-05,997279665,12235,9592.0,2643.0,0.2160196158561504,1.226837408742311e-05,9.61816462987842e-06,11287,941,6,1,0,0,0,0,0,0,0
SAMN55951662,"Boston DITP South, MA (SB)",2025-11-12,1262608181,121445,38021.0,83424.0,0.6869282391205895,9.61858174432342e-05,3.011306323857884e-05,103812,17291,255,82,0,0,0,0,0,0,5
SAMN55951664,"Boston DITP South, MA (SB)",2025-11-19,1125468622,15235,7632.0,7603.0,0.499048244174598,1.3536583519251592e-05,6.781175281846285e-06,12818,2353,59,5,0,0,0,0,0,0,0
SAMN55951666,"Boston DITP South, MA (SB)",2025-11-26,1379389525,17474,14044.0,3430.0,0.1962916332837358,1.266792278997479e-05,1.018131553521838e-05,16465,963,33,12,0,0,0,0,0,0,1
SAMN55951668,"Boston DITP South, MA (SB)",2025-12-03,1293433484,272245,81766.0,190479.0,0.6996602325111573,0.0002104824124067,6.321623880273692e-05,248277,22379,1395,192,0,0,0,0,0,0,2
SAMN55951670,"Boston DITP South, MA (SB)",2025-12-10,1865159228,6706,5193.0,1513.0,0.2256188487921264,3.595403491202629e-06,2.7842126945742994e-06,6381,316,7,2,0,0,0,0,0,0,0
SAMN55951672,"Boston DITP South, MA (SB)",2025-12-17,1863089429,349516,76157.0,273359.0,0.7821072568923884,0.0001876002271064,4.087672809183225e-05,317366,29746,2325,79,0,0,0,0,0,0,0
SAMN55951674,"Boston DITP South, MA (SB)",2025-12-23,1274515804,8059,6674.0,1385.0,0.1718575505645861,6.323185616613978e-06,5.236498424777477e-06,7660,389,9,1,0,0,0,0,0,0,0
SAMN55951676,"Boston DITP South, MA (SB)",2025-12-30,1091719096,249938,65018.0,184920.0,0.7398634861445639,0.0002289398444304,5.9555613012745174e-05,231230,18041,630,29,0,0,0,0,0,0,8
SAMN54705862,"Southern California, CA",2025-04-16,613637958,9516,7507.0,2009.0,0.2111181168558217,1.5507515263584786e-05,1.2233597844023854e-05,8969,453,84,10,0,0,0,0,0,0,0
SAMN54705863,"Southern California, CA",2025-04-20,585933530,17269,8071.0,9198.0,0.5326307255776247,2.947262635746413e-05,1.3774599996009786e-05,16281,760,213,15,0,0,0,0,0,0,0
SAMN54705864,"Southern California, CA",2025-04-23,638743246,5634,4597.0,1037.0,0.1840610578629748,8.820445515912351e-06,7.1969449834307915e-06,5318,280,31,5,0,0,0,0,0,0,0
SAMN54705865,"Southern California, CA",2025-04-27,492223326,35628,24560.0,11068.0,0.3106545413719546,7.23817789976089e-05,4.989605063942053e-05,33508,1818,265,36,0,0,0,0,0,0,1
SAMN54705866,"Southern California, CA",2025-04-30,752034147,13945,11094.0,2851.0,0.2044460380064539,1.854304097178183e-05,1.475198971250969e-05,13005,823,89,26,0,0,0,0,0,0,2
SAMN54705867,"Southern California, CA",2025-05-04,751852729,85846,42357.0,43489.0,0.5065932017799315,0.0001141792756597,5.633683082634658e-05,79901,5072,717,153,0,0,0,0,0,0,3
SAMN54705868,"Southern California, CA",2025-05-07,925166063,66250,39231.0,27019.0,0.4078339622641509,7.160876587406773e-05,4.240427915480077e-05,61566,4277,295,105,0,0,0,0,0,0,7
SAMN54705869,"Southern California, CA",2025-05-11,1018038450,197336,87810.0,109526.0,0.555022905095877,0.0001938394370075,8.625410955745335e-05,184699,11190,1187,252,0,0,0,0,0,0,8
SAMN54705870,"Southern California, CA",2025-05-14,815158806,40289,26948.0,13341.0,0.3311325672019658,4.942472522341861e-05,3.305858907693625e-05,37920,2069,232,64,0,0,0,0,0,0,4
SAMN54705871,"Southern California, CA",2025-05-18,958828189,36732,23844.0,12888.0,0.3508657301535446,3.830926168150027e-05,2.4867854609977472e-05,33690,2757,221,62,0,0,0,0,0,0,2
SAMN54705872,"Southern California, CA",2025-05-21,892982296,124209,77985.0,46224.0,0.3721469458734874,0.0001390945829008,8.733095868677782e-05,117272,6125,623,189,0,0,0,0,0,0,0
SAMN54705873,"Southern California, CA",2025-05-25,1120338600,75807,48298.0,27509.0,0.3628820557468307,6.766436504106883e-05,4.3110181154161786e-05,70678,4550,442,137,0,0,0,0,0,0,0
SAMN54705874,"Southern California, CA",2025-05-28,1097564373,71618,42862.0,28756.0,0.4015191711580888,6.525175357527754e-05,3.905192356312025e-05,65327,5705,438,148,0,0,0,0,0,0,0
SAMN54705875,"Southern California, CA",2025-06-01,970511026,202767,106150.0,96617.0,0.4764927231748756,0.0002089280745585,0.0001093753673644,189052,11992,1365,353,0,0,0,0,0,0,5
SAMN54705876,"Southern California, CA",2025-06-04,1204139496,61554,43463.0,18091.0,0.2939045391038762,5.111866208564261e-05,3.6094655265755024e-05,55856,5340,203,153,0,0,0,0,0,0,2
SAMN54705877,"Southern California, CA",2025-06-08,1450260226,313873,139977.0,173896.0,0.5540330006085263,0.0002164252969039,9.651854025265118e-05,283957,27709,1509,689,0,0,0,0,0,0,9
SAMN54705878,"Southern California, CA",2025-06-11,1552377529,64584,37646.0,26938.0,0.4171002105784714,4.160328192949513e-05,2.4250544275947195e-05,58544,5527,382,129,0,0,0,0,0,0,2
SAMN54705879,"Southern California, CA",2025-06-15,1439912053,145406,49620.0,95786.0,0.6587486073477022,0.0001009825563283,3.4460437980652145e-05,130627,13212,1166,398,0,0,0,0,0,0,3
SAMN54705880,"Southern California, CA",2025-06-18,1643359502,163364,57123.0,106241.0,0.6503329987022844,9.94085589922247e-05,3.475989272613826e-05,142270,18636,2058,358,0,0,0,0,0,0,42
SAMN54705881,"Southern California, CA",2025-06-22,1636810013,136774,58266.0,78508.0,0.5739979820726161,8.356131677696426e-05,3.559728956765613e-05,119996,15226,1219,320,0,0,0,0,0,0,13
SAMN54705882,"Southern California, CA",2025-06-25,1295096772,77313,45260.0,32053.0,0.4145874561846002,5.9696697321395226e-05,3.494719543629594e-05,66824,9692,606,186,0,0,0,0,0,0,5
SAMN54705883,"Southern California, CA",2025-06-29,1199931403,150678,62093.0,88585.0,0.5879093165558343,0.0001255721782289,5.174712474793028e-05,127069,21856,1206,518,0,0,0,0,0,0,29
SAMN54705884,"Southern California, CA",2025-07-02,978455717,46501,28677.0,17824.0,0.3833035848691426,4.752488967265138e-05,2.930842909061361e-05,40520,5321,550,102,0,0,0,0,0,0,8
SAMN54705885,"Southern California, CA",2025-07-06,945162710,159611,68641.0,90970.0,0.5699481865284974,0.0001688714528316,7.262347453381862e-05,139495,17687,2142,287,0,0,0,0,0,0,0
SAMN54705886,"Southern California, CA",2025-07-09,939856403,40619,17575.0,23044.0,0.5673207119820773,4.321830427536067e-05,1.8699665123204995e-05,34800,5114,601,96,0,0,1,0,0,0,7
SAMN54705887,"Southern California, CA",2025-07-13,999222043,35233,13147.0,22086.0,0.6268555047824482,3.5260431099196635e-05,1.3157235763662992e-05,29700,4984,483,66,0,0,0,0,0,0,0
SAMN54705888,"Southern California, CA",2025-07-16,985415918,18384,10267.0,8117.0,0.4415252393385552,1.8656081827166105e-05,1.0418950833306917e-05,15254,2799,293,31,0,0,0,0,0,0,7
SAMN54705889,"Southern California, CA",2025-07-20,779958907,35967,12217.0,23750.0,0.6603275224511358,4.611396789908061e-05,1.5663645725889506e-05,30695,4659,476,132,0,0,0,0,0,0,5
SAMN54705890,"Southern California, CA",2025-07-23,838164478,20096,15325.0,4771.0,0.2374104299363057,2.397620100526379e-05,1.8284000816364828e-05,16355,3434,249,54,0,0,0,0,0,0,4
SAMN54705891,"Southern California, CA",2025-07-27,817899543,8712,6406.0,2306.0,0.264692378328742,1.065167485978165e-05,7.832257707961576e-06,7299,1320,71,22,0,0,0,0,0,0,0
SAMN54705892,"Southern California, CA",2025-07-30,846749729,3777,3007.0,770.0,0.2038655017209425,4.46058601572933e-06,3.55122640966325e-06,2961,774,33,9,0,0,0,0,0,0,0
SAMN54705893,"Southern California, CA",2025-08-03,904577696,10562,7619.0,2943.0,0.2786404090134444,1.167616673139816e-05,8.422714857652206e-06,8709,1749,86,17,0,0,0,0,0,0,1
SAMN54705894,"Southern California, CA",2025-08-06,836220550,57317,30017.0,27300.0,0.4762984803810388,6.854292207958774e-05,3.589603245220415e-05,47070,9713,359,174,0,0,0,0,0,0,1
SAMN54705895,"Southern California, CA",2025-08-10,909438343,46412,23249.0,23163.0,0.499073515470137,5.1033696079823194e-05,2.556412996983128e-05,38617,7416,265,109,0,0,0,0,0,0,5
SAMN54705896,"Southern California, CA",2025-08-13,972200120,3314,2448.0,866.0,0.2613156306578153,3.4087632081345557e-06,2.5180001006377165e-06,2480,784,34,15,0,0,0,0,0,0,1
SAMN54705897,"Southern California, CA",2025-08-17,926189116,7073,4836.0,2237.0,0.3162731514208963,7.636669312792917e-06,5.221395842876651e-06,5180,1803,55,35,0,0,0,0,0,0,0
SAMN54705898,"Southern California, CA",2025-08-20,996805703,7986,4847.0,3139.0,0.3930628600050088,8.011591402381855e-06,4.862532372570104e-06,6318,1581,71,15,0,0,0,0,0,0,1
SAMN54705899,"Southern California, CA",2025-08-24,901375179,5277,3031.0,2246.0,0.425620617775251,5.854387965125008e-06,3.362639742712507e-06,4087,1132,45,13,0,0,0,0,0,0,0
SAMN54705900,"Southern California, CA",2025-08-27,1007680547,3200,2071.0,1129.0,0.3528125,3.175609581356739e-06,2.0552148259343147e-06,2447,704,36,13,0,0,0,0,0,0,0
SAMN54705901,"Southern California, CA",2025-09-03,935000550,7929,,,,8.48020891538513e-06,,6526,1294,67,42,0,0,0,0,0,0,0
SAMN54705902,"Southern California, CA",2025-09-07,621363038,16564,,,,2.6657523841963706e-05,,13768,2726,70,0,0,0,0,0,0,0,0
SAMN54705903,"Southern California, CA",2025-09-10,993392923,3497,2363.0,1134.0,0.3242779525307406,3.5202586197606723e-06,2.3787163621659906e-06,2829,634,23,11,0,0,0,0,0,0,0
SAMN54705904,"Southern California, CA",2025-09-14,1028379461,16029,9396.0,6633.0,0.4138124649073554,1.558665901827069e-05,9.136705230249634e-06,13105,2782,97,45,0,0,0,0,0,0,0
SAMN54705905,"Southern California, CA",2025-09-17,798900065,2438,190.0,2248.0,0.9220672682526662,3.051695833821218e-06,2.3782699279164538e-07,2176,262,0,0,0,0,0,0,0,0,0
SAMN54705906,"Southern California, CA",2025-09-21,884586956,4023,2741.0,1282.0,0.3186676609495401,4.54788528444003e-06,3.0986213185806914e-06,3068,874,53,27,0,0,0,0,0,0,1
SAMN54705907,"Southern California, CA",2025-09-24,779502607,3902,2618.0,1284.0,0.3290620194771911,5.005756189857105e-06,3.3585519490122756e-06,2951,903,34,12,0,0,0,0,0,0,2
SAMN54705908,"Southern California, CA",2025-09-28,874266952,5127,3134.0,1993.0,0.3887263506924127,5.864341535810449e-06,3.584717451380914e-06,4075,988,42,22,0,0,0,0,0,0,0
SAMN54705909,"Southern California, CA",2025-10-01,802086833,4864,2615.0,2249.0,0.4623766447368421,6.064181332845792e-06,3.2602455150887633e-06,3581,1206,57,20,0,0,0,0,0,0,0
SAMN54705910,"Southern California, CA",2025-10-05,625744986,16042,8715.0,7327.0,0.4567385612766488,2.5636641697357523e-05,1.3927398852541503e-05,12917,2929,144,52,0,0,0,0,0,0,0
SAMN54705911,"Southern California, CA",2025-10-09,1235731817,4291,2700.0,1591.0,0.3707760428804474,3.472436285097286e-06,2.1849401001544334e-06,3200,1051,21,19,0,0,0,0,0,0,0
SAMN54705912,"Southern California, CA",2025-10-16,1121460663,7383,4603.0,2780.0,0.3765407016118109,6.583378484493486e-06,4.104468530966208e-06,5878,1390,67,46,0,0,0,0,0,0,2
SAMN54705913,"Southern California, CA",2025-10-19,1301515584,15498,10107.0,5391.0,0.3478513356562137,1.1907656113013547e-05,7.765562029566908e-06,12699,2637,111,49,0,0,0,0,0,0,2
SAMN54705914,"Southern California, CA",2025-10-23,1070642871,869,693.0,176.0,0.2025316455696202,8.116618748774165e-07,6.472746597123702e-07,746,118,2,3,0,0,0,0,0,0,0
SAMN54705915,"Southern California, CA",2025-10-26,1326362902,21013,14385.0,6628.0,0.3154237852757816,1.5842572171096505e-05,1.0845448088384487e-05,17820,2918,230,44,0,0,0,0,0,0,1
SAMN54705916,"Southern California, CA",2025-10-29,1045627478,5655,1711.0,3944.0,0.6974358974358974,5.408235838270501e-06,1.636338022861331e-06,4731,840,64,20,0,0,0,0,0,0,0
SAMN54705917,"Southern California, CA",2025-11-02,954082384,29672,20759.0,8913.0,0.3003842005931518,3.1100039679592284e-05,2.1758079122022652e-05,25280,3940,374,75,0,0,0,0,0,0,3
SAMN54705918,"Southern California, CA",2025-11-05,1324937198,14499,8993.0,5506.0,0.3797503276088006,1.0943160190450025e-05,6.787491523051042e-06,11828,2405,216,47,0,0,0,0,0,0,3
SAMN54705919,"Southern California, CA",2025-11-09,1162302756,52534,29737.0,22797.0,0.4339475387368181,4.5198206516168664e-05,2.558455604315886e-05,42941,8692,769,125,0,0,0,0,0,0,7
SAMN54705920,"Southern California, CA",2025-11-12,1518850495,18856,9369.0,9487.0,0.5031289775137887,1.2414651779140384e-05,6.168480723311744e-06,15699,2891,207,58,0,0,0,0,0,0,1
SAMN54705921,"Southern California, CA",2025-11-16,1334938845,7106,5149.0,1957.0,0.2754010695187165,5.323090287330728e-06,3.857105529055153e-06,5886,1123,73,24,0,0,0,0,0,0,0
SAMN54705922,"Southern California, CA",2025-11-19,985244491,12581,9228.0,3353.0,0.2665129957872983,1.2769419281127447e-05,9.366203094050085e-06,10314,2111,117,38,0,0,0,0,0,0,1
SAMN54705923,"Southern California, CA",2025-11-23,888709784,45306,29227.0,16079.0,0.3548978060301064,5.0979522016829734e-05,3.2887001500593356e-05,39044,5476,674,110,0,0,0,0,0,0,2
SAMN54705924,"Southern California, CA",2025-11-26,635398712,9364,6127.0,3237.0,0.3456856044425459,1.4737203307393549e-05,9.642764274284522e-06,7747,1527,62,27,0,0,0,0,0,0,1
SAMN54705925,"Southern California, CA",2025-11-30,742629283,33951,21027.0,12924.0,0.3806662543076787,4.5717292298046915e-05,2.8314261881860104e-05,29114,4474,291,71,0,0,0,0,0,0,1
SAMN54705926,"Southern California, CA",2025-12-03,786926022,10531,7163.0,3368.0,0.3198176811318963,1.3382452359670476e-05,9.10250747814259e-06,8346,2026,94,65,0,0,0,0,0,0,0
SAMN54705927,"Southern California, CA",2025-12-07,806398415,12583,9536.0,3047.0,0.2421521099896686,1.5603949320758525e-05,1.1825420068564993e-05,10853,1590,124,16,0,0,0,0,0,0,0
SAMN55039087,"Southern California, CA",2025-12-10,1056891052,19551,11562.0,7989.0,0.4086235998158662,1.8498595444632452e-05,1.0939632782509356e-05,16651,2698,160,42,0,0,0,0,0,0,0
SAMN55039088,"Southern California, CA",2025-12-14,999633159,62210,35916.0,26294.0,0.4226651663719659,6.22328295534262e-05,3.592918029642912e-05,54241,7314,490,162,0,0,0,0,0,0,3
SAMN55039089,"Southern California, CA",2025-12-17,1151322020,11487,3164.0,8323.0,0.7245581962218159,9.977226006673614e-06,2.7481451279807887e-06,9957,1415,94,21,0,0,0,0,0,0,0
SAMN55039090,"Southern California, CA",2025-12-21,1118820047,19779,7408.0,12371.0,0.6254613478942312,1.7678446192518035e-05,6.621261408270065e-06,17236,2396,110,33,0,0,0,0,0,0,4
SAMN55039091,"Southern California, CA",2025-12-24,911801911,18810,13084.0,5726.0,0.3044125465178097,2.0629480782037976e-05,1.434960800383758e-05,15990,2643,128,49,0,0,0,0,0,0,0
SAMN55039092,"Southern California, CA",2025-12-28,940828675,27252,18798.0,8454.0,0.3102157639806253,2.8965953870400474e-05,1.9980258361066643e-05,23799,3226,151,74,0,0,0,0,0,0,2
SAMN55039093,"Southern California, CA",2025-12-31,714415302,14842,11433.0,3409.0,0.2296860261420293,2.0775030935717557e-05,1.6003296637114865e-05,12818,1876,115,33,0,0,0,0,0,0,0
SAMN47830496,"Riverside WQCP, CA",2024-12-09,716828356,398427,165782.0,232645.0,0.5839087210455115,0.0005558192511011,0.0002312715430582,370778,22809,4009,818,0,0,0,0,0,0,13
SAMN47830504,"Riverside WQCP, CA",2024-12-16,940149103,636467,233935.0,402532.0,0.6324475581609101,0.0006769851696598,0.0002488275521973,610589,18141,7419,315,0,0,0,0,0,0,3
SAMN47830511,"Riverside WQCP, CA",2024-12-23,817893279,380656,179810.0,200846.0,0.5276312471102518,0.000465410353372,0.0002198453082043,365697,10394,4303,252,1,0,0,0,0,0,9
SAMN47830518,"Riverside WQCP, CA",2024-12-29,936673420,197062,102373.0,94689.0,0.4805035978524525,0.0002103849600002,0.000109294229786,188974,5349,2579,153,0,0,0,0,0,0,7
SAMN47830527,"Riverside WQCP, CA",2025-01-06,897967313,571644,244911.0,326733.0,0.5715672691395344,0.0006365977822624,0.0002727393263144,550215,16114,4993,290,0,0,0,0,0,0,32
SAMN47830535,"Riverside WQCP, CA",2025-01-13,962428565,209513,106823.0,102690.0,0.4901366502317278,0.0002176920008603,0.0001109931727764,199717,7896,1844,53,0,0,0,0,0,0,3
SAMN47830542,"Riverside WQCP, CA",2025-01-20,1051352425,240166,101672.0,138494.0,0.5766594771949402,0.0002284352937122,9.670591666728688e-05,229290,8691,2005,174,0,0,0,0,0,0,6
SAMN47830549,"Riverside WQCP, CA",2025-01-27,1091594261,107728,51332.0,56396.0,0.5235036387939997,9.868868301058245e-05,4.702479834675496e-05,104129,2844,734,21,0,0,0,0,0,0,0
SAMN47830557,"Riverside WQCP, CA",2025-02-03,838128126,174926,100085.0,74841.0,0.427843773938694,0.0002087103326729,0.0001194149162821,168882,4417,1563,61,0,0,0,0,0,0,3
SAMN47830564,"Riverside WQCP, CA",2025-02-10,845183810,404531,182452.0,222079.0,0.5489789410453093,0.0004786307962998,0.0002158725685954,391225,9492,3704,92,0,0,0,0,0,0,18
SAMN47830571,"Riverside WQCP, CA",2025-02-17,1074442150,1255213,320535.0,934678.0,0.7446369659970061,0.0011682462382921,0.0002983269038728,1205545,38517,10913,227,0,0,0,0,0,0,11
SAMN47830579,"Riverside WQCP, CA",2025-02-24,1578079125,363397,139023.0,224374.0,0.6174349265403952,0.0002302780603602,8.809634307785423e-05,346446,13158,3581,205,0,0,0,0,0,0,7
SAMN47830587,"Riverside WQCP, CA",2025-03-03,1052533786,807626,177078.0,630548.0,0.7807425714377695,0.0007673159861872,0.0001682397300261,780449,18976,8046,148,0,0,0,0,0,0,7
SAMN47830590,"Riverside WQCP, CA",2025-03-06,744015308,70155,45009.0,25146.0,0.3584348941629249,9.429241474692884e-05,6.049472304674678e-05,67667,1869,606,13,0,0,0,0,0,0,0
SAMN47830596,"Riverside WQCP, CA",2025-03-10,795025595,697599,262371.0,435228.0,0.6238942429676648,0.0008774547692392,0.0003300157902463,676171,14888,6362,165,0,0,0,0,0,0,13
SAMN53059441,"Riverside WQCP, CA",2025-03-13,789069243,187857,100010.0,87847.0,0.467626971579446,0.000238074163537,0.0001267442634308,183698,2701,1441,14,0,0,0,0,0,0,3
SAMN53059442,"Riverside WQCP, CA",2025-03-17,1059567772,1128441,439005.0,689436.0,0.6109632670206063,0.0010650012484524,0.0004143246063169,1110281,11446,6536,149,0,0,0,9,0,0,20
SAMN53059443,"Riverside WQCP, CA",2025-03-20,636494858,1017184,340371.0,676813.0,0.6653791251140403,0.0015981024625967,0.0005347584441915,1001693,9883,5515,68,0,0,0,1,0,0,24
SAMN53059444,"Riverside WQCP, CA",2025-03-24,764406022,892910,359562.0,533348.0,0.59731439898758,0.0011681095835218,0.0004703809096888,877947,9274,5605,76,0,0,0,1,0,0,7
