sra_accession,site_name,raw_n_read_pairs,raw_n_bases_approx,raw_mean_percent_gc,raw_mean_mean_seq_len,raw_mean_percent_duplicates,cleaned_n_read_pairs,cleaned_n_bases_approx,cleaned_mean_percent_gc,cleaned_mean_mean_seq_len,cleaned_mean_percent_duplicates
SAMN52959019,"Columbia WWTP, MO",3998444,1207400000.0,49.0,151.0,37.72897205925072,3975403,1118400000.0,49.0,140.6743572915752,38.97836442511744
SAMN52959020,"Columbia WWTP, MO",4000852,1208100000.0,50.0,151.0,62.4630292523109,3977718,1105300000.0,50.0,138.9510503258401,64.31199438020961
SAMN52959021,"Columbia WWTP, MO",7998799,2415200000.0,50.0,151.0,76.9017254166258,7944152,2239000000.0,50.0,140.92935205670787,78.6712266226262
SAMN52959022,"Columbia WWTP, MO",7997689,2414900000.0,49.0,151.0,74.75634038396376,7941412,2200900000.0,49.0,138.58533110988324,76.74671941541692
SAMN52959023,"Columbia WWTP, MO",8002057,2416200000.0,49.0,151.0,40.766349103975706,7944340,2191600000.0,49.0,137.95050866403,42.420848976395995
SAMN52959024,"Columbia WWTP, MO",7996733,2414700000.0,50.0,151.0,56.87811813801195,7945067,2212300000.0,50.0,139.23673198728218,58.99563326874152
SAMN52959025,"Columbia WWTP, MO",8000515,2415800000.0,49.0,151.0,47.044516735907315,7939738,2229400000.0,49.0,140.41673245389205,48.79897424832463
SAMN52959026,"Columbia WWTP, MO",13980814,4221500000.0,50.0,151.0,68.72151781224382,13895239,4041500000.0,50.0,145.4476924434333,69.93365902420788
SAMN52959027,"Columbia WWTP, MO",13983569,4222300000.0,49.0,151.0,46.84366515549306,13907110,3998900000.0,49.0,143.7924448717239,48.06095960206172
SAMN52959028,"Columbia WWTP, MO",13988894,4223900000.0,50.0,151.0,70.92389607916023,13919198,3877400000.0,50.0,139.2877537197186,72.627233444352
SAMN53034969,"Columbia WWTP, MO",13984812,4222600000.0,50.0,151.0,50.19776677736504,13895167,4042700000.0,50.0,145.48890553096626,51.29050238010912
SAMN53034970,"Columbia WWTP, MO",8002174,2416300000.0,50.74998306710152,151.0,65.95961774880071,7961441,2326500000.0,50.87496534860963,146.1286132749084,66.67561847839491
SAMN53034971,"Columbia WWTP, MO",8001759,2416200000.0,49.0,151.0,69.1560894333475,7968932,2303800000.0,49.0,144.56501209948837,69.94575326947155
SAMN53034972,"Columbia WWTP, MO",8005132,2417200000.0,49.0,151.0,75.07063537364097,7973899,2309800000.0,49.0,144.8395616749096,75.87443937895613
SAMN53034973,"Columbia WWTP, MO",7994093,2413800000.0,49.0,151.0,63.10731946165532,7956012,2359100000.0,49.0,148.27907329702367,63.66689886352257
SAMN53034974,"Columbia WWTP, MO",7993361,2413500000.0,49.0,151.0,72.89276712798883,7960836,2302700000.0,49.0,144.6392120752142,73.75526807104391
SAMN53034975,"Columbia WWTP, MO",7998162,2415000000.0,49.0,151.0,54.96806379652371,7954353,2265900000.0,48.875042005302,142.4508883374927,55.846364973182624
SAMN53034976,"Columbia WWTP, MO",7995597,2414400000.0,49.0,151.0,77.35144494868204,7963707,2241500000.0,50.0,140.75480074794314,78.41558039875004
SAMN53034977,"Columbia WWTP, MO",7997609,2414900000.0,49.0,151.0,71.77992334718024,7966431,2227000000.0,49.0,139.7863494330146,73.20210517788648
SAMN53034978,"Columbia WWTP, MO",7998149,2415000000.0,50.0,151.0,81.70090839375341,7963933,2246300000.0,50.0,141.04333166790832,82.74045551820441
SAMN53034979,"Columbia WWTP, MO",8002462,2416200000.0,49.0,151.0,79.77188062093738,7959391,2227400000.0,49.0,139.9293378727091,80.98694180438022
SAMN53034980,"Columbia WWTP, MO",8009210,2418500000.0,49.0,151.0,64.49261634063504,7976877,2229600000.0,49.0,139.76124754086092,65.81246835701465
SAMN53034981,"Columbia WWTP, MO",8011738,2419200000.0,50.0,151.0,73.79628547298576,7977156,2229500000.0,50.0,139.75175281767085,75.1592377149693
SAMN53034982,"Columbia WWTP, MO",7989236,2412400000.0,50.0,151.0,77.18136577363188,7963026,2189100000.0,50.0,137.46077584074197,78.46489696221994
SAMN53034983,"Columbia WWTP, MO",7989317,2412400000.0,50.0,151.0,54.10311418889705,7952088,2247000000.0,50.0,141.2998088678093,55.03064315893323
SAMN53034984,"Columbia WWTP, MO",6992839,2111500000.0,51.0,151.0,46.3896106880603,6872334,1881100000.0,50.85681793114246,136.88067547357272,48.106837654204895
SAMN53034985,"Columbia WWTP, MO",8004445,2416800000.0,50.0,151.0,52.28661205974388,7978401,2229000000.0,51.0,139.70842729012995,53.24926396479488
SAMN53034986,"Columbia WWTP, MO",8006998,2417700000.0,50.0,151.0,64.02342726471907,7969463,2207300000.0,50.0,138.48733270987017,65.29539236034573
SAMN53034987,"Columbia WWTP, MO",7999313,2415300000.0,49.0,151.0,40.76361164037995,7972384,2267300000.0,49.0,142.21624171640502,40.91291814706611
SAMN53034988,"Columbia WWTP, MO",7997512,2415000000.0,50.0,151.0,30.71386112433292,7952101,2256400000.0,50.0,141.88707795587607,30.821723902643143
SAMN53034989,"Columbia WWTP, MO",7997849,2415200000.0,49.0,151.0,44.58026300844556,7967038,2247600000.0,49.0,141.0773236552907,44.89429457471737
SAMN53034990,"Columbia WWTP, MO",7989664,2412300000.0,49.0,151.0,36.23934004859367,7940578,2241700000.0,49.0,141.1730223542921,36.50766915749728
